sample,label,Fc0,Fc1,Fv2,Fv3
Fc0C1LPS4,P,C1,C0,0,0
Fc0C1LPS5,P,C1,C0,0,0
Fc0C1LPS6,P,C1,C0,0,0
Fc0C1LPS7,P,C1,C0,0,0
Fc0C1LPS8,P,C1,C0,0,0
Fc0C1LPS9,P,C1,C0,0,0
Fc0C1LPS10,P,C1,C0,0,0
Fc0C1LPS11,P,C1,C0,0,0
Fc0C1LPS12,P,C1,C0,0,0
Fc0C1LPS13,P,C1,C0,0,0
Fc0C1LPS14,P,C1,C0,0,0
Fc0C1LPS15,P,C1,C0,0,0
Fc0C1LPS16,P,C1,C0,0,0
Fc0C1LPS17,P,C1,C0,0,0
Fc0C1LPS18,P,C1,C0,0,0
Fc0C1LPS19,P,C1,C0,0,0
Fc0C1LPS20,P,C1,C0,0,0
Fc0C1LPS21,P,C1,C0,0,0
Fc0C1LPS22,P,C1,C0,0,0
Fc0C1LPS23,P,C1,C0,0,0
Fc0C1LPS24,P,C1,C0,0,0
Fc0C1LPS25,P,C1,C0,0,0
Fc0C1LPS26,P,C1,C0,0,0
Fc0C1LPS27,P,C1,C0,0,0
Fc0C1LPS28,P,C1,C0,0,0
Fc0C1LPS29,P,C1,C0,0,0
Fc0C1LPS30,P,C1,C0,0,0
Fc0C1LPS31,P,C1,C0,0,0
Fc0C1Fc1C1LQS4,Q,C1,C1,0,0
Fc0C1Fc1C1LQS5,Q,C1,C1,0,0
Fc0C1Fc1C1LQS6,Q,C1,C1,0,0
Fc0C1Fc1C1LQS7,Q,C1,C1,0,0
Fc0C1Fc1C1LQS8,Q,C1,C1,0,0
Fc0C1Fc1C1LQS9,Q,C1,C1,0,0
Fc0C1Fc1C1LQS10,Q,C1,C1,0,0
Fc0C1Fc1C1LQS11,Q,C1,C1,0,0
Fc0C1Fc1C1LQS12,Q,C1,C1,0,0
Fc0C1Fc1C1LQS13,Q,C1,C1,0,0
Fc0C1Fc1C1LQS14,Q,C1,C1,0,0
Fc0C1Fc1C1LQS15,Q,C1,C1,0,0
Fc0C1Fc1C1LQS16,Q,C1,C1,0,0
Fc0C1Fc1C1LQS17,Q,C1,C1,0,0
Fc0C1Fc1C1LQS18,Q,C1,C1,0,0
Fc0C1Fc1C1LQS19,Q,C1,C1,0,0
Fc0C1Fc1C1LQS20,Q,C1,C1,0,0
Fc0C1Fc1C1LQS21,Q,C1,C1,0,0
