PA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0,LABEL
R10001,0.266074,-0.16562,0.32098,0.483299,0.17234,0.273364,0.371178,0.929823,0.251173,0.159345,A
R10002,0.130292,0.870736,-3.210528,0.062493,0.261718,1.43606,1.46594,0.636203,0.282354,0.515587,A
R10003,-0.116585,0.069915,0.068476,-0.783147,0.261718,0.439463,-0.081827,-0.888236,-0.123005,0.582939,A
R10004,0.031541,0.2976,-3.210528,-0.58359,-0.721442,-0.307984,0.710932,1.051693,0.594169,-0.533994,A
R10005,0.229043,0.807926,-0.052442,0.082634,0.261718,0.14879,0.635431,0.051062,0.032902,-0.086652,F
R10006,0.117948,-0.220579,-3.210528,-1.623238,0.261718,-0.349509,0.257927,-0.385979,-0.247731,-0.33131,A
R10007,0.389513,-0.220579,-3.210528,-2.624155,0.261718,-0.764757,0.484429,-0.59751,-0.372457,-0.810261,A
R10008,0.019197,-0.040001,0.288973,-0.042597,0.261718,-1.013906,0.069175,0.890701,0.095265,-0.842014,F
R10009,0.500607,0.140576,0.388552,-0.637358,0.261718,-0.681707,0.295677,0.931046,0.500624,-0.642297,H
R10010,-0.252367,0.069915,0.246296,0.52355,0.261718,-1.22153,0.899684,1.373076,0.62535,-1.40089,E
R10011,-0.042522,-2.395356,-3.210528,-1.128463,-0.721442,0.397939,0.257927,-1.167255,-0.060642,0.345537,A
R10012,-3.498799,-0.566031,0.139604,-5.440122,0.976743,-0.847807,-1.176589,-2.008078,0.438262,0.009512,I
R10013,0.043885,-0.173471,0.285416,-0.775121,0.17234,-0.391033,0.333428,-1.807711,-0.996086,-0.41085,F
R10014,0.15498,0.336855,0.068476,0.021525,0.261718,0.024215,0.031425,0.079292,0.313536,0.125675,A
R10015,0.290762,-0.189174,0.079145,-0.085921,0.976743,-1.470679,-0.950086,-0.273525,0.968347,-0.724959,I
R10016,0.142636,-0.244132,-3.206971,0.165524,0.887365,-2.093552,-0.874585,-2.69449,-3.334697,-1.399407,I
R10017,-0.00549,-0.322644,0.100483,-0.519439,0.261718,-0.307984,0.069175,-0.574114,0.282354,-0.182852,A
R10018,-0.301743,-0.314793,0.399221,0.77052,0.708609,0.564038,-1.32759,0.004193,0.750076,1.649058,Y
R10019,-0.091897,0.2976,0.079145,0.196496,0.261718,-0.183409,0.220177,0.305093,-0.278912,-0.163443,F
R10020,-0.091897,-0.220579,0.274747,0.567174,-0.185173,0.730137,0.031425,-0.396638,-0.403638,0.770625,A
R10021,-0.00549,0.478177,0.029355,-0.247644,0.17234,1.062336,0.333428,-0.670454,0.095265,0.902376,A
R10022,0.438888,0.195534,0.14316,-0.809435,0.261718,-1.138481,-0.232828,-0.087894,-0.278912,-0.802015,F
R10023,0.364825,-0.047852,-0.038216,0.327813,0.261718,0.439463,0.484429,-0.964306,-0.933723,0.232267,A
R10024,-0.054866,-0.220579,0.466793,-0.21697,0.17234,-0.930856,0.446679,0.634922,0.313536,-0.942674,D
R10025,0.290762,0.077766,0.118265,0.275805,0.261718,-0.432558,0.031425,0.676859,-0.091823,-0.293988,F
R10026,0.105604,-0.087108,0.367214,1.522618,0.261718,1.186911,0.635431,0.574967,0.656532,0.81758,A
R10027,-0.030178,0.022808,0.157386,-0.771451,0.261718,1.062336,0.182426,-1.21723,-0.185368,0.981553,H
R10028,-0.252367,-0.008597,-2.044028,0.342613,0.351096,-0.307984,0.220177,1.240469,2.090879,-0.295362,X
R10029,0.290762,-0.189174,0.079145,-0.085921,0.976743,-0.930856,-1.101088,0.495694,1.68552,-0.087857,I
R10030,0.25373,0.336855,0.086258,-0.979571,0.261718,-1.055431,0.144676,-0.626478,0.064084,-0.896238,G
R10031,0.463576,0.109171,0.224957,-1.411178,0.261718,0.06574,0.257927,0.468454,0.282354,0.050018,A
R10032,-0.215336,-0.142067,0.096927,-0.184417,0.261718,-1.263055,0.144676,-2.579706,-2.087438,-1.101669,E
R10033,-0.314087,0.164129,0.200063,0.132493,0.261718,-0.930856,0.144676,-0.899478,-0.746634,-0.802015,E
R10034,-0.128929,-0.134216,0.264078,0.430695,0.261718,-0.10036,0.182426,0.363824,-0.154186,-0.063434,F
R10035,0.241386,-0.157769,0.338762,-1.203923,0.261718,-0.058835,0.182426,1.066119,0.344717,-0.03555,A
R10036,-0.030178,-0.220579,0.242739,1.988271,0.17234,-0.224934,0.182426,1.346147,-0.091823,-0.173894,A
R10037,0.241386,-0.126364,0.417003,0.096091,0.17234,-0.515608,-2.724356,1.342012,0.812439,-2.088249,A
R10038,-0.252367,0.069915,0.246296,0.52355,0.261718,-0.806282,-0.044076,1.485336,1.093072,-0.588627,E
R10039,0.327793,-2.426761,0.008017,-0.54498,-0.006417,-0.432558,0.484429,0.070477,0.18881,-0.528713,A
R10040,0.15498,-0.330495,0.299642,-0.333637,0.082961,-0.723232,0.182426,0.536505,0.095265,-0.629,F
R10041,-0.264711,-0.275537,0.384996,1.343918,0.261718,0.356414,0.220177,-0.647699,-1.183175,0.323223,A
R10042,0.809204,-0.291239,0.036468,-0.399281,0.976743,-0.640182,-1.32759,-0.172274,1.03071,0.33488,I
R10043,0.031541,0.2976,-3.210528,-0.58359,-0.721442,0.397939,0.069175,0.092921,0.095265,0.437855,A
R10044,-0.277055,0.030659,0.441898,0.131866,0.17234,0.190314,0.069175,0.032986,-0.528364,0.255847,D
R10045,-0.215336,0.776522,0.502357,-1.289141,-0.721442,2.29424,0.245343,-0.526178,0.168022,2.058776,A
R10046,0.130292,-0.024299,0.246296,0.121006,0.082961,0.14879,0.408929,0.219723,-0.372457,0.026486,A
R10047,0.056229,0.533135,0.185837,0.882801,0.261718,0.107265,0.597681,0.792167,0.126447,-0.125915,A
R10048,-0.240024,-0.424709,0.089814,1.094532,0.261718,1.560634,0.144676,0.39355,0.344717,1.461673,A
R10049,-0.06721,-0.275537,0.253409,0.371526,-1.078955,1.311485,0.106925,-0.523926,0.001721,1.242933,A
R10050,0.15498,-0.385453,0.381439,0.314237,0.261718,0.14879,-0.044076,0.231431,-0.341275,0.284405,F
R10051,0.019197,0.038511,0.19295,0.323367,0.261718,0.231839,0.031425,0.313558,0.251173,0.319293,F
R10052,0.204355,-0.275537,0.360101,-0.278884,0.261718,0.024215,0.182426,-0.656668,-0.590727,0.041422,A
R10053,-0.00549,0.054213,0.32098,0.804804,0.17234,-0.10036,-0.42158,0.341225,1.498432,0.306551,X
R10054,-0.054866,0.179832,0.239183,-1.170087,0.261718,0.14879,0.446679,1.20787,0.687713,0.014165,E
R10055,-0.277055,0.038511,0.42056,3.987152,0.17234,-0.141884,-3.177361,1.869684,0.905984,0.221755,X
R10056,0.500607,0.140576,0.388552,-0.637358,0.261718,-2.716425,-1.063338,-0.899594,-3.490604,-1.947506,H
R10057,0.25373,-2.426761,0.352988,-0.05119,-0.095795,-0.557133,-0.232828,0.920134,-0.029461,-0.255255,A
R10058,-0.277055,-0.251983,-3.203415,1.957926,0.261718,2.308081,0.446679,1.932842,1.68552,2.012761,X
