sample,label,Fc0,Fc1,Fc2,Fc3,Fv4,Fv5,Fv6,Fv7
Fc0C1LPS15,P,C0,C0,C1,C1,0,0,0,0
Fc0C1LPS16,R,C3,C0,C0,C2,4,0,0,0
Fc0C1LPS17,R,C1,C0,C0,C2,0,0,0,0
Fc0C1LPS18,Q,C0,C1,C2,C2,0,0,0,0
Fc0C1LPS19,S,C1,C6,C1,C3,0,0,0,0
Fc0C1LPS20,Q,C0,C0,C2,C0,0,0,0,0
Fc0C1LPS21,Q,C1,C3,C3,C4,0,0,0,0
Fc0C1LPS22,R,C0,C2,C6,C2,0,0,0,0
Fc0C1LPS25,R,C0,C0,C1,C2,0,0,0,0
Fc0C1LPS26,P,C1,C0,C0,C2,0,4,0,0
Fc0C1LPS27,P,C1,C3,C2,C0,0,0,6,0
Fc0C1LPS28,R,C0,C2,C0,C1,0,8,0,0
Fc0C1LPS29,Q,C1,C0,C1,C2,5,0,0,0
Fc0C1LPS30,S,C2,C3,C0,C3,0,0,0,0
Fc0C1LPS33,S,C0,C1,C0,C1,6,0,0,0
Fc0C1LPS35,P,C1,C0,C1,C1,0,0,0,0
Fc0C1LPS36,P,C0,C2,C0,C0,0,0,0,0
Fc0C1LPS37,P,C0,C3,C2,C0,0,0,0,4
Fc0C1LPS38,T,C3,C0,C2,C3,0,0,0,0
Fc0C1LPS39,R,C0,C0,C1,C2,0,9,0,0
Fc0C1LPS40,P,C0,C0,C1,C0,0,0,0,0
Fc0C1LPS41,P,C0,C1,C1,C0,7,5,0,0
Fc0C1LPS42,R,C1,C3,C0,C3,6,0,0,0
Fc0C1LPS43,S,C1,C0,C1,C2,0,4,0,0
Fc0C1LPS44,R,C2,C2,C5,C1,0,0,0,0
Fc0C1LPS45,S,C3,C0,C2,C3,6,0,0,0
Fc0C1LPS46,V,C0,C2,C0,C1,0,0,0,5
Fc0C1LPS47,P,C1,C0,C1,C1,0,0,0,0
Fc0C1LPS48,T,C3,C0,C6,C0,0,0,0,0
Fc0C1LPS49,P,C0,C0,C7,C0,0,0,0,0
Fc0C1LPS50,R,C3,C0,C2,C0,0,0,0,0
Fc0C1LPS51,S,C0,C1,C3,C3,0,0,0,0
Fc0C1LPS52,R,C1,C0,C3,C2,0,0,0,0
Fc0C1LPS53,P,C1,C3,C2,C2,0,0,0,9
Fc0C1LPS55,P,C3,C2,C2,C3,0,6,0,0
Fc0C1LPS56,S,C1,C2,C3,C1,0,0,6,0
Fc0C1LPS57,P,C2,C0,C1,C1,0,0,0,7
Fc0C1LPS58,P,C2,C3,C0,C9,4,0,0,0
Fc0C1LPS59,V,C1,C0,C0,C0,0,0,0,4
Fc0C1LPS60,R,C1,C3,C0,C1,0,0,4,0
Fc0C1LPS61,V,C2,C2,C1,C2,0,0,0,0
Fc0C1LPS62,P,C0,C3,C0,C3,0,0,4,0
Fc0C1LPS63,P,C1,C1,C1,C1,0,0,0,0
Fc0C1Fc1C1LQS15,Q,C3,C3,C3,C3,0,4,0,0
Fc0C1Fc1C1LQS16,P,C3,C2,C0,C2,0,0,0,0
Fc0C1Fc1C1LQS18,P,C0,C0,C1,C1,5,0,0,0
Fc0C1Fc1C1LQS20,P,C1,C3,C0,C0,0,0,0,0
Fc0C1Fc1C1LQS22,V,C0,C3,C0,C1,0,0,8,0
Fc0C1Fc1C1LQS23,S,C3,C1,C2,C0,5,0,0,0
Fc0C1Fc1C1LQS24,R,C2,C3,C1,C1,0,0,0,0
Fc0C1Fc1C1LQS25,R,C0,C0,C0,C2,0,0,0,0
Fc0C1Fc1C1LQS26,V,C0,C1,C2,C0,0,0,0,7
Fc0C1Fc1C1LQS28,V,C1,C0,C0,C0,0,0,0,7
Fc0C1Fc1C1LQS29,P,C0,C1,C2,C2,0,0,0,3
Fc0C1Fc1C1LQS32,P,C3,C1,C2,C1,9,0,0,0
Fc0C1Fc1C1LQS33,Q,C2,C2,C3,C0,0,7,0,0
Fc0C1Fc1C1LQS35,R,C2,C2,C1,C7,0,0,0,0
Fc0C1Fc1C1LQS37,S,C3,C2,C0,C1,0,0,0,4
Fc0C1Fc1C1LQS38,P,C2,C2,C0,C1,5,0,0,0
Fc0C1Fc1C1LQS39,P,C0,C1,C0,C0,0,0,5,0
Fc0C1Fc1C1LQS40,R,C2,C2,C3,C1,0,4,0,0
Fc0C1Fc1C1LQS41,P,C0,C1,C1,C2,7,0,0,0
Fc0C1Fc1C1LQS42,P,C0,C2,C6,C2,0,0,0,5
Fc0C1Fc1C1LQS43,P,C0,C2,C3,C2,0,0,8,0
Fc0C1Fc1C1LQS44,Q,C0,C3,C0,C2,0,9,0,0
Fc0C1Fc1C1LQS45,R,C0,C1,C1,C3,0,7,0,0
Fc0C1Fc1C1LQS46,P,C1,C0,C2,C9,0,0,0,0
Fc0C1Fc1C1LQS48,Q,C1,C3,C1,C1,6,0,0,0
Fc0C1Fc1C1LQS49,P,C0,C1,C0,C1,0,0,0,4
Fc0C1Fc1C1LQS50,Q,C0,C1,C0,C0,0,7,0,0
Fc0C1Fc1C1LQS51,Q,C3,C1,C2,C3,0,0,0,0
Fc0C1Fc1C1LQS52,R,C2,C1,C2,C1,0,0,0,5
Fc0C1Fc1C1LQS56,P,C1,C1,C0,C0,8,0,0,0
Fc0C1Fc1C1LQS58,Q,C0,C2,C0,C1,0,0,0,0
Fc0C1Fc1C1LQS59,Q,C2,C1,C3,C0,0,0,0,5
Fc0C1Fc1C1LQS60,P,C2,C0,C3,C2,0,0,0,0
Fc0C1Fc1C1LQS61,P,C3,C2,C1,C1,0,0,8,0
Fc0C1Fc1C1LQS62,Q,C1,C2,C1,C3,7,0,0,0
Fc0C1Fc1C1LQS63,S,C1,C0,C8,C6,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS15,Q,C2,C0,C0,C2,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS16,Q,C0,C0,C0,C0,3,0,0,0
Fc0C1Fc1C1Fc2C1LRS17,R,C1,C2,C3,C3,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS19,R,C2,C0,C0,C2,0,0,0,8
Fc0C1Fc1C1Fc2C1LRS20,R,C0,C1,C1,C9,0,0,0,0
