sample,label,Fc0,Fc1,Fc2,Fc3,Fc4,Fv5,Fv6,Fv7,Fv8,Fv9
Fc0C1LPS7,P,C0,C3,C1,C8,C0,7,0,0,0,0
Fc0C1LPS8,P,C2,C0,C2,C2,C3,0,0,0,3,0
Fc0C1LPS9,P,C1,C0,C3,C0,C1,0,0,0,0,0
Fc0C1LPS10,P,C3,C3,C2,C1,C2,0,0,0,0,0
Fc0C1LPS12,S,C0,C0,C2,C0,C3,4,0,0,0,0
Fc0C1LPS13,S,C0,C3,C1,C0,C0,0,0,8,0,0
Fc0C1LPS14,P,C0,C0,C2,C0,C3,5,0,0,0,0
Fc0C1LPS16,Q,C9,C1,C3,C2,C0,0,0,0,8,0
Fc0C1LPS17,R,C0,C5,C2,C1,C0,0,0,0,0,0
Fc0C1LPS18,T,C1,C3,C2,C3,C2,0,0,0,0,0
Fc0C1LPS19,P,C6,C3,C3,C2,C1,0,6,5,2,0
Fc0C1LPS20,Q,C1,C2,C2,C0,C0,0,0,8,0,0
Fc0C1LPS21,S,C3,C0,C3,C3,C0,0,0,0,0,7
Fc0C1LPS22,Q,C3,C4,C3,C2,C1,0,0,0,0,0
Fc0C1LPS24,Q,C3,C0,C0,C0,C2,0,0,0,8,0
Fc0C1LPS25,Q,C9,C7,C2,C0,C3,0,0,7,0,0
Fc0C1LPS26,P,C1,C2,C3,C0,C0,0,0,0,0,5
Fc0C1LPS27,T,C0,C0,C0,C2,C3,0,3,0,7,5
Fc0C1LPS29,S,C1,C0,C0,C8,C1,5,0,0,0,5
Fc0C1LPS30,P,C0,C1,C0,C0,C1,3,0,0,0,0
Fc0C1Fc1C1LQS7,P,C4,C2,C3,C1,C2,6,5,0,0,0
Fc0C1Fc1C1LQS8,Q,C1,C1,C3,C7,C3,6,5,0,4,0
Fc0C1Fc1C1LQS9,Q,C9,C0,C9,C7,C7,2,0,8,4,0
Fc0C1Fc1C1LQS10,T,C2,C0,C0,C0,C0,0,0,7,0,0
Fc0C1Fc1C1LQS12,Q,C4,C0,C3,C0,C0,2,7,0,5,0
Fc0C1Fc1C1LQS13,R,C3,C1,C0,C0,C2,0,0,0,0,0
Fc0C1Fc1C1LQS14,P,C2,C3,C6,C3,C1,0,0,7,0,0
Fc0C1Fc1C1LQS15,T,C0,C0,C3,C3,C5,0,0,6,0,0
Fc0C1Fc1C1LQS16,S,C0,C6,C1,C0,C0,0,0,0,0,5
Fc0C1Fc1C1LQS17,Q,C1,C2,C3,C0,C0,5,0,0,0,0
Fc0C1Fc1C1LQS18,S,C3,C6,C3,C4,C3,5,9,2,0,0
Fc0C1Fc1C1LQS20,P,C3,C1,C3,C2,C3,0,0,0,0,0
Fc0C1Fc1C1LQS21,V,C2,C2,C0,C8,C3,0,3,0,5,0
Fc0C1Fc1C1LQS22,P,C0,C3,C3,C3,C0,0,0,0,0,0
Fc0C1Fc1C1LQS23,Q,C5,C1,C0,C2,C2,0,0,0,0,0
Fc0C1Fc1C1LQS24,V,C0,C3,C0,C0,C3,0,8,0,1,6
Fc0C1Fc1C1LQS25,P,C2,C9,C0,C6,C3,0,0,5,0,0
Fc0C1Fc1C1LQS26,S,C0,C2,C0,C1,C0,0,0,0,0,0
Fc0C1Fc1C1LQS27,P,C0,C0,C3,C2,C8,0,5,0,0,0
Fc0C1Fc1C1LQS28,Q,C0,C1,C0,C0,C0,5,0,0,0,0
Fc0C1Fc1C1LQS29,T,C0,C3,C1,C0,C0,0,0,0,8,0
Fc0C1Fc1C1LQS30,P,C2,C2,C1,C2,C2,0,0,9,0,9
Fc0C1Fc1C1LQS31,R,C0,C1,C3,C2,C3,0,0,0,5,0
Fc0C1Fc1C1Fc2C1LRS7,T,C2,C3,C3,C0,C0,0,1,3,5,8
Fc0C1Fc1C1Fc2C1LRS8,P,C0,C1,C6,C0,C0,7,0,6,0,0
Fc0C1Fc1C1Fc2C1LRS9,P,C0,C8,C2,C2,C7,0,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS10,P,C3,C0,C0,C1,C0,0,8,0,1,5
Fc0C1Fc1C1Fc2C1LRS11,R,C0,C5,C3,C1,C2,0,7,0,0,5
Fc0C1Fc1C1Fc2C1LRS12,Q,C0,C3,C0,C3,C2,0,0,0,0,8
Fc0C1Fc1C1Fc2C1LRS13,R,C0,C0,C8,C2,C0,0,2,1,0,4
Fc0C1Fc1C1Fc2C1LRS14,Q,C1,C0,C0,C2,C5,0,4,5,5,0
Fc0C1Fc1C1Fc2C1LRS15,R,C0,C5,C0,C3,C3,6,1,0,2,0
Fc0C1Fc1C1Fc2C1LRS16,V,C3,C2,C0,C0,C3,0,4,0,0,0
Fc0C1Fc1C1Fc2C1LRS17,P,C0,C0,C2,C0,C0,0,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS18,Q,C1,C0,C1,C3,C3,0,0,0,6,0
Fc0C1Fc1C1Fc2C1LRS19,P,C2,C1,C0,C3,C0,0,0,0,0,7
Fc0C1Fc1C1Fc2C1LRS20,P,C0,C3,C0,C0,C5,6,1,0,5,0
Fc0C1Fc1C1Fc2C1LRS21,P,C1,C0,C3,C0,C0,0,3,0,0,0
Fc0C1Fc1C1Fc2C1LRS22,S,C2,C0,C0,C2,C1,0,0,0,8,0
Fc0C1Fc1C1Fc2C1LRS23,R,C4,C1,C1,C2,C8,8,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS24,Q,C1,C3,C8,C6,C2,0,8,0,0,0
Fc0C1Fc1C1Fc2C1LRS25,Q,C0,C0,C0,C7,C5,0,0,6,0,0
Fc0C1Fc1C1Fc2C1LRS26,Q,C1,C1,C1,C0,C0,0,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS27,Q,C0,C0,C0,C2,C1,0,0,0,7,0
Fc0C1Fc1C1Fc2C1LRS28,Q,C2,C2,C2,C1,C0,5,0,7,0,0
Fc0C1Fc1C1Fc2C1LRS29,P,C0,C1,C3,C2,C3,0,0,0,0,7
Fc0C1Fc1C1Fc2C1LRS30,Q,C0,C1,C3,C2,C9,8,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS31,P,C0,C9,C2,C1,C1,2,6,8,0,0
Fc0C1Fc1C1Fc2C2LSS7,V,C1,C1,C3,C3,C0,9,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS8,P,C1,C3,C0,C0,C2,0,7,0,0,0
Fc0C1Fc1C1Fc2C2LSS9,T,C0,C9,C5,C0,C3,0,0,0,9,4
Fc0C1Fc1C1Fc2C2LSS10,V,C0,C1,C0,C0,C3,0,0,7,3,0
Fc0C1Fc1C1Fc2C2LSS11,Q,C0,C1,C2,C3,C5,0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS13,T,C2,C1,C2,C0,C1,0,0,0,7,0
Fc0C1Fc1C1Fc2C2LSS14,P,C1,C2,C2,C3,C0,0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS15,V,C0,C1,C1,C0,C3,0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS16,S,C1,C0,C0,C1,C0,4,0,0,0,5
Fc0C1Fc1C1Fc2C2LSS17,R,C3,C8,C0,C2,C0,0,0,4,0,4
Fc0C1Fc1C1Fc2C2LSS18,P,C0,C2,C3,C3,C1,0,6,0,0,0
Fc0C1Fc1C1Fc2C2LSS19,S,C0,C3,C3,C6,C2,0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS20,Q,C6,C1,C0,C1,C2,0,6,5,0,0
Fc0C1Fc1C1Fc2C2LSS21,T,C0,C3,C0,C1,C0,0,9,0,0,0
Fc0C1Fc1C1Fc2C2LSS22,S,C2,C1,C2,C2,C3,0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS23,Q,C0,C2,C0,C0,C0,1,4,0,8,0
Fc0C1Fc1C1Fc2C2LSS24,P,C0,C1,C3,C1,C0,3,5,0,0,4
Fc0C1Fc1C1Fc2C2LSS25,Q,C3,C1,C3,C2,C2,0,0,0,0,5
Fc0C1Fc1C1Fc2C2LSS26,S,C3,C0,C0,C1,C5,0,0,6,0,0
Fc0C1Fc1C1Fc2C2LSS27,P,C1,C9,C2,C2,C1,0,5,0,8,0
Fc0C1Fc1C1Fc2C2LSS28,P,C0,C2,C2,C3,C8,0,8,0,6,0
Fc0C1Fc1C1Fc2C2LSS29,Q,C2,C0,C3,C0,C2,0,0,7,0,6
Fc0C1Fc1C1Fc2C2LSS30,Q,C3,C3,C3,C1,C2,0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS31,P,C1,C3,C0,C0,C0,0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS7,P,C1,C0,C0,C0,C2,0,5,0,6,7
Fc0C1Fc1C1Fc2C3LTS8,V,C5,C5,C1,C0,C0,0,0,5,4,0
Fc0C1Fc1C1Fc2C3LTS9,Q,C0,C0,C5,C0,C0,0,0,0,8,0
Fc0C1Fc1C1Fc2C3LTS10,T,C3,C0,C3,C0,C3,0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS11,P,C0,C1,C3,C1,C1,1,6,0,9,0
Fc0C1Fc1C1Fc2C3LTS12,T,C5,C1,C2,C0,C2,0,0,9,0,0
Fc0C1Fc1C1Fc2C3LTS13,P,C7,C6,C1,C7,C0,0,4,0,5,0
Fc0C1Fc1C1Fc2C3LTS14,S,C0,C0,C0,C1,C0,0,0,0,0,3
Fc0C1Fc1C1Fc2C3LTS15,Q,C0,C1,C0,C1,C3,0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS17,Q,C2,C0,C3,C3,C3,0,4,4,6,0
Fc0C1Fc1C1Fc2C3LTS18,V,C2,C3,C3,C6,C3,0,3,0,0,0
Fc0C1Fc1C1Fc2C3LTS19,S,C0,C0,C0,C0,C0,6,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS20,T,C3,C0,C2,C0,C0,0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS21,T,C4,C3,C0,C9,C0,0,0,4,0,0
Fc0C1Fc1C1Fc2C3LTS22,S,C7,C0,C0,C3,C0,5,0,0,0,7
Fc0C1Fc1C1Fc2C3LTS23,P,C1,C1,C1,C0,C0,7,7,0,0,0
Fc0C1Fc1C1Fc2C3LTS24,P,C1,C3,C4,C3,C3,0,4,0,1,5
Fc0C1Fc1C1Fc2C3LTS25,Q,C0,C2,C3,C2,C1,1,0,8,3,0
Fc0C1Fc1C1Fc2C3LTS26,P,C2,C2,C0,C4,C6,0,7,5,0,0
Fc0C1Fc1C1Fc2C3LTS28,T,C3,C8,C2,C4,C1,0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS29,R,C2,C2,C0,C8,C2,0,0,0,6,0
Fc0C1Fc1C1Fc2C3LTS31,S,C3,C7,C0,C0,C3,3,6,4,0,0
Fc0C1Fc1C1Fc3C1LVS7,P,C2,C4,C2,C1,C2,0,0,3,8,5
Fc0C1Fc1C1Fc3C1LVS8,Q,C2,C1,C0,C2,C0,0,0,0,5,6
Fc0C1Fc1C1Fc3C1LVS11,V,C0,C0,C0,C2,C2,0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS12,V,C1,C0,C3,C0,C2,0,0,0,7,0
Fc0C1Fc1C1Fc3C1LVS13,V,C0,C0,C0,C8,C3,0,7,3,5,0
Fc0C1Fc1C1Fc3C1LVS14,P,C2,C1,C2,C1,C3,4,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS15,P,C0,C0,C3,C0,C0,3,0,1,0,0
Fc0C1Fc1C1Fc3C1LVS17,Q,C1,C3,C2,C0,C3,0,9,0,0,0
Fc0C1Fc1C1Fc3C1LVS18,P,C5,C1,C0,C0,C3,0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS19,Q,C0,C0,C0,C1,C0,0,0,0,0,9
Fc0C1Fc1C1Fc3C1LVS21,P,C0,C0,C7,C0,C1,0,0,8,0,0
Fc0C1Fc1C1Fc3C1LVS23,R,C3,C0,C7,C0,C1,0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS24,P,C0,C1,C2,C0,C0,7,0,0,0,9
Fc0C1Fc1C1Fc3C1LVS25,P,C3,C1,C9,C3,C3,0,0,6,0,0
Fc0C1Fc1C1Fc3C1LVS26,Q,C2,C1,C1,C3,C0,0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS27,P,C0,C2,C0,C3,C2,4,0,0,0,5
Fc0C1Fc1C1Fc3C1LVS28,Q,C0,C2,C5,C1,C3,0,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS29,T,C0,C0,C0,C7,C2,0,8,0,0,0
Fc0C1Fc1C1Fc3C1LVS30,P,C0,C0,C0,C3,C1,4,0,0,0,0
Fc0C1Fc1C1Fc3C1LVS31,S,C1,C1,C9,C3,C0,8,0,0,0,0
Fc0C1Fc1C1Fc3C2LPS7,R,C7,C0,C0,C0,C1,0,0,0,0,0
