sample,label,Fc0,Fc1,Fc2,Fc3,Fc4,Fc5,Fv6,Fv7,Fv8,Fv9,Fv10,Fv11
Fc0C1LPS3,Q,C0,C0,C2,C7,C6,C8,0,0,0,0,0,8
Fc0C1LPS4,Q,C2,C2,C3,C0,C1,C6,0,0,0,0,0,0
Fc0C1LPS5,S,C7,C0,C5,C1,C0,C8,3,2,1,0,4,4
Fc0C1LPS6,Q,C5,C1,C4,C9,C2,C2,0,0,0,0,4,0
Fc0C1LPS7,S,C3,C4,C3,C0,C2,C0,0,0,1,0,0,5
Fc0C1LPS9,V,C2,C2,C3,C0,C0,C0,6,6,7,5,3,0
Fc0C1LPS10,S,C0,C0,C0,C2,C5,C3,0,0,0,0,0,0
Fc0C1LPS11,P,C3,C5,C0,C0,C4,C0,5,4,0,1,1,0
Fc0C1LPS12,R,C2,C7,C0,C2,C1,C9,0,0,0,0,0,7
Fc0C1LPS13,T,C1,C0,C0,C1,C0,C0,0,8,0,0,1,3
Fc0C1LPS14,V,C0,C8,C7,C5,C2,C0,0,0,0,7,0,0
Fc0C1LPS15,S,C0,C0,C0,C0,C0,C1,0,6,0,0,0,0
Fc0C1Fc1C1LQS3,S,C5,C2,C1,C0,C0,C1,0,4,0,0,6,0
Fc0C1Fc1C1LQS4,S,C7,C0,C0,C0,C3,C0,5,0,0,0,0,0
Fc0C1Fc1C1LQS5,Q,C2,C1,C0,C0,C0,C1,1,0,0,2,0,3
Fc0C1Fc1C1LQS6,S,C8,C0,C0,C0,C0,C8,5,1,5,1,0,0
Fc0C1Fc1C1LQS7,S,C2,C5,C1,C1,C1,C3,7,0,0,0,0,0
Fc0C1Fc1C1LQS8,Q,C9,C1,C0,C0,C5,C6,0,7,0,0,0,0
Fc0C1Fc1C1LQS9,P,C1,C6,C0,C2,C0,C7,0,5,1,0,0,0
Fc0C1Fc1C1LQS10,Q,C2,C0,C1,C0,C6,C0,0,0,0,3,4,0
Fc0C1Fc1C1LQS11,R,C7,C1,C0,C3,C3,C6,0,0,0,0,0,3
Fc0C1Fc1C1LQS12,P,C0,C0,C0,C3,C0,C5,0,0,0,1,4,0
Fc0C1Fc1C1LQS13,P,C1,C2,C2,C0,C3,C5,7,5,0,0,3,0
Fc0C1Fc1C1LQS14,T,C5,C3,C2,C0,C2,C1,5,0,0,4,0,0
Fc0C1Fc1C1LQS15,T,C0,C7,C2,C0,C0,C0,0,0,3,5,0,5
Fc0C1Fc1C1Fc2C1LRS3,P,C0,C2,C1,C0,C0,C0,0,0,0,0,0,0
Fc0C1Fc1C1Fc2C1LRS4,P,C0,C2,C6,C9,C0,C5,6,0,3,0,0,2
Fc0C1Fc1C1Fc2C1LRS5,S,C7,C6,C2,C1,C2,C3,1,0,4,0,0,0
Fc0C1Fc1C1Fc2C1LRS6,R,C1,C1,C4,C0,C7,C0,0,0,0,7,2,0
Fc0C1Fc1C1Fc2C1LRS7,R,C8,C4,C2,C2,C1,C1,2,0,8,0,6,8
Fc0C1Fc1C1Fc2C1LRS8,Q,C0,C4,C9,C2,C5,C1,2,1,3,2,1,6
Fc0C1Fc1C1Fc2C1LRS9,R,C0,C6,C1,C0,C1,C3,5,0,0,0,0,5
Fc0C1Fc1C1Fc2C1LRS10,P,C0,C3,C3,C0,C1,C2,0,3,0,1,8,0
Fc0C1Fc1C1Fc2C1LRS11,P,C4,C8,C0,C0,C6,C0,4,3,5,6,0,0
Fc0C1Fc1C1Fc2C1LRS12,P,C8,C1,C8,C6,C3,C2,4,2,1,0,0,3
Fc0C1Fc1C1Fc2C1LRS13,Q,C5,C3,C0,C0,C0,C0,0,0,0,3,2,0
Fc0C1Fc1C1Fc2C1LRS14,S,C5,C0,C3,C1,C7,C2,0,5,3,0,3,3
Fc0C1Fc1C1Fc2C1LRS15,R,C1,C0,C0,C3,C0,C0,0,6,5,3,1,3
Fc0C1Fc1C1Fc2C2LSS3,P,C0,C2,C0,C3,C0,C3,0,0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS4,P,C7,C0,C9,C3,C9,C2,4,0,0,6,0,0
Fc0C1Fc1C1Fc2C2LSS5,V,C1,C0,C2,C0,C1,C0,0,1,0,6,4,0
Fc0C1Fc1C1Fc2C2LSS6,P,C0,C6,C3,C0,C0,C3,5,0,4,0,0,4
Fc0C1Fc1C1Fc2C2LSS7,P,C6,C0,C0,C1,C4,C0,0,6,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS9,Q,C9,C0,C7,C0,C0,C2,3,0,1,9,1,0
Fc0C1Fc1C1Fc2C2LSS10,V,C0,C3,C0,C3,C5,C0,0,0,1,2,0,7
Fc0C1Fc1C1Fc2C2LSS11,P,C1,C8,C0,C0,C0,C2,0,0,7,2,3,0
Fc0C1Fc1C1Fc2C2LSS12,R,C1,C9,C3,C1,C2,C3,0,3,5,0,0,0
Fc0C1Fc1C1Fc2C2LSS13,Q,C0,C0,C0,C0,C3,C6,5,0,5,7,0,0
Fc0C1Fc1C1Fc2C2LSS14,R,C3,C4,C5,C1,C1,C2,7,0,0,0,0,0
Fc0C1Fc1C1Fc2C2LSS15,S,C2,C1,C1,C1,C3,C2,0,0,0,1,5,0
Fc0C1Fc1C1Fc2C3LTS3,Q,C1,C0,C0,C0,C5,C0,2,0,7,5,0,0
Fc0C1Fc1C1Fc2C3LTS5,S,C0,C0,C2,C0,C3,C2,0,0,1,4,2,0
Fc0C1Fc1C1Fc2C3LTS6,T,C3,C0,C8,C2,C0,C0,0,0,0,3,0,0
Fc0C1Fc1C1Fc2C3LTS7,Q,C0,C0,C0,C1,C1,C4,1,3,1,4,5,0
Fc0C1Fc1C1Fc2C3LTS9,T,C1,C0,C3,C3,C5,C0,0,0,0,0,0,0
Fc0C1Fc1C1Fc2C3LTS10,P,C1,C8,C0,C3,C0,C2,0,3,0,0,4,3
Fc0C1Fc1C1Fc2C3LTS11,Q,C7,C0,C1,C0,C5,C2,9,0,5,2,6,0
Fc0C1Fc1C1Fc2C3LTS13,P,C8,C0,C0,C1,C3,C0,8,0,4,0,0,3
Fc0C1Fc1C1Fc2C3LTS14,S,C9,C0,C3,C2,C0,C0,0,0,3,0,0,0
Fc0C1Fc1C1Fc2C3LTS15,R,C9,C2,C7,C1,C6,C1,4,0,4,0,0,0
Fc0C1Fc1C1Fc3C1LVS3,Q,C0,C2,C0,C0,C2,C3,0,1,0,1,2,7
Fc0C1Fc1C1Fc3C1LVS5,P,C3,C3,C0,C4,C2,C1,0,0,1,4,0,3
Fc0C1Fc1C1Fc3C1LVS6,Q,C5,C3,C2,C2,C0,C7,0,0,0,7,3,4
Fc0C1Fc1C1Fc3C1LVS7,R,C0,C2,C7,C3,C5,C1,3,0,4,4,6,0
Fc0C1Fc1C1Fc3C1LVS8,R,C0,C2,C8,C2,C3,C1,0,4,0,0,2,3
Fc0C1Fc1C1Fc3C1LVS9,P,C1,C0,C0,C1,C0,C5,0,0,7,0,0,0
Fc0C1Fc1C1Fc3C1LVS10,T,C7,C1,C7,C0,C5,C0,0,0,0,1,6,0
Fc0C1Fc1C1Fc3C1LVS12,P,C1,C0,C2,C5,C0,C0,0,9,0,1,6,0
Fc0C1Fc1C1Fc3C1LVS13,T,C0,C3,C2,C1,C0,C2,0,0,0,2,3,0
Fc0C1Fc1C1Fc3C1LVS14,Q,C6,C0,C3,C2,C0,C4,0,1,8,1,2,0
Fc0C1Fc1C1Fc3C1LVS15,V,C1,C1,C0,C0,C9,C3,0,0,8,0,0,0
Fc0C1Fc1C1Fc3C2LPS3,T,C8,C0,C2,C0,C1,C0,4,6,2,0,0,2
Fc0C1Fc1C1Fc3C2LPS4,Q,C6,C0,C3,C1,C2,C1,9,4,6,7,0,2
Fc0C1Fc1C1Fc3C2LPS5,Q,C0,C0,C0,C3,C2,C3,5,0,0,1,1,7
Fc0C1Fc1C1Fc3C2LPS6,V,C3,C0,C5,C0,C2,C0,0,4,8,4,4,0
Fc0C1Fc1C1Fc3C2LPS8,P,C0,C1,C0,C3,C0,C1,0,0,0,0,0,3
Fc0C1Fc1C1Fc3C2LPS9,V,C0,C2,C2,C1,C6,C0,2,4,5,1,5,0
Fc0C1Fc1C1Fc3C2LPS10,S,C3,C0,C9,C6,C1,C1,0,5,3,4,7,0
Fc0C1Fc1C1Fc3C2LPS11,V,C6,C1,C0,C0,C5,C2,0,0,3,8,0,0
Fc0C1Fc1C1Fc3C2LPS12,S,C0,C1,C0,C0,C3,C2,0,2,0,0,5,0
Fc0C1Fc1C1Fc3C2LPS13,Q,C5,C0,C1,C3,C0,C7,4,7,0,3,1,0
Fc0C1Fc1C1Fc3C2LPS14,R,C0,C1,C2,C0,C1,C0,0,0,0,0,8,0
Fc0C1Fc1C1Fc3C2LPS15,Q,C3,C3,C0,C9,C0,C2,0,0,0,0,0,0
Fc0C1Fc1C1Fc3C3LQS3,T,C9,C0,C8,C1,C3,C1,5,4,1,4,2,4
Fc0C1Fc1C1Fc3C3LQS4,R,C0,C3,C5,C1,C0,C0,0,4,0,0,0,8
Fc0C1Fc1C1Fc3C3LQS5,P,C2,C2,C0,C8,C4,C0,0,6,0,4,7,0
Fc0C1Fc1C1Fc3C3LQS6,Q,C1,C0,C1,C0,C0,C1,0,3,0,5,5,0
Fc0C1Fc1C1Fc3C3LQS7,T,C9,C2,C0,C3,C0,C1,8,5,0,5,1,4
Fc0C1Fc1C1Fc3C3LQS8,P,C0,C0,C1,C4,C0,C0,2,0,0,0,4,0
Fc0C1Fc1C1Fc3C3LQS9,S,C1,C0,C0,C0,C2,C2,5,3,4,5,1,0
Fc0C1Fc1C1Fc3C3LQS10,Q,C3,C6,C1,C0,C8,C4,0,3,2,6,1,0
Fc0C1Fc1C1Fc3C3LQS12,R,C3,C1,C2,C0,C3,C1,0,0,0,0,8,0
Fc0C1Fc1C1Fc3C3LQS13,S,C1,C3,C0,C3,C4,C0,2,0,3,6,0,2
Fc0C1Fc1C1Fc3C3LQS14,T,C2,C1,C0,C2,C1,C0,6,6,3,3,4,0
Fc0C1Fc1C1Fc3C3LQS15,Q,C1,C6,C3,C0,C8,C2,0,4,3,3,0,4
Fc0C1Fc1C1Fc4C1LRS3,T,C0,C1,C6,C4,C5,C0,0,5,0,0,1,4
Fc0C1Fc1C1Fc4C1LRS4,Q,C1,C4,C6,C0,C9,C0,0,0,0,0,0,5
Fc0C1Fc1C1Fc4C1LRS5,P,C6,C0,C3,C3,C1,C0,0,4,0,0,0,3
Fc0C1Fc1C1Fc4C1LRS6,P,C0,C0,C1,C0,C7,C3,0,0,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS7,P,C0,C0,C7,C4,C8,C6,3,7,7,6,5,0
Fc0C1Fc1C1Fc4C1LRS8,T,C7,C1,C2,C8,C0,C2,0,4,0,4,4,0
Fc0C1Fc1C1Fc4C1LRS9,P,C9,C0,C0,C0,C3,C6,0,7,0,0,0,0
Fc0C1Fc1C1Fc4C1LRS10,S,C0,C1,C2,C3,C3,C3,0,4,0,0,0,0
