PA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0,LABEL
0,0.98072594,-0.025292468,0.051701023,-0.748437527,0.991162383,-2.057383087,0.447145837,-3.017933992,-0.859333154,-1.890048985,I
1,-0.288757491,0.258661241,0.123701466,-0.944035971,-1.171579987,-1.307053101,-0.089561954,1.15716866,0.312974036,-0.718989352,X
2,-0.271242045,-0.098324947,0.49362955,-0.282286438,0.162412855,-0.876283149,0.031497928,0.240403003,1.510760432,0.219047368,X
3,0.069594383,0.05773239,0.195251173,1.738018897,0.25593363,2.439122284,0.136372675,-0.855587031,0.530739693,0.758222419,I
4,-0.452139626,0.505248851,0.710111876,0.8605239,0.126260945,0.103257413,0.033283426,1.66145154,0.724505903,0.258724105,X
5,-0.037943782,0.143150417,0.686756216,0.875632007,0.465209263,-0.577143963,0.231548142,0.082398851,-0.775291994,-0.893600803,Y
6,0.55419882,-0.011727096,-3.326514225,-0.310600321,-2.764587491,0.383515683,-1.541055409,0.90255884,-1.585593119,0.186516094,I
7,0.617229199,-0.35876727,-3.135486974,0.159346499,0.998764868,-0.49872851,-1.067338387,0.149771669,1.413174981,-0.313099731,I
8,0.128744482,-0.069225085,0.257847116,-0.489525917,0.965652984,-3.017478486,0.162755794,-3.287669852,-0.796590103,-0.394329526,I
9,-0.08366302,0.2614405,0.212806255,0.97790854,0.152508559,-1.146029817,0.061034806,0.766946874,0.212175907,-1.246559861,X
10,-3.907824123,0.155097395,6.992158138,1.135422883,-4.830503636,0.525249412,0.253238472,0.657485303,0.265637089,2.363990074,W
11,0.309201881,0.594939613,0.156981145,0.635120535,0.970127622,0.664283396,-0.889039719,0.571374433,1.053725113,0.374320764,I
12,0.368554845,0.462273637,0.161957875,-0.684440525,1.023300227,-0.972618248,-0.953276768,-0.149861132,0.298967848,-0.01609936,I
13,0.136447658,-2.493411835,0.573456564,-0.241801269,0.945568834,0.665188916,-1.084097141,0.790258944,0.585760352,0.394204231,I
14,0.630558732,-0.156933922,0.217228515,1.493571786,1.042420811,-0.567176857,-1.489636131,0.53072535,1.242721669,-0.126050693,I
15,0.075501264,0.403560008,0.103643222,-0.136939493,0.257502014,-0.492874746,0.311686884,-0.076022919,0.592982235,-1.077968177,I
16,0.240786143,-1.233275118,0.427231187,0.374365876,0.255851819,0.098494506,0.229123934,-1.079679145,0.100561344,0.1135408,I
17,0.078779857,0.334061061,0.258923888,0.192900947,0.257189167,0.051938098,9.76E-05,0.571161191,-0.319893849,-0.376615176,F
18,-0.42266432,0.981118653,0.38035964,1.529027688,0.145769962,0.347278514,0.279224969,-0.291126701,1.190327231,1.559699868,X
19,-0.19702683,0.405486169,0.251422527,1.132609357,-1.095056452,-0.831078411,-0.218575382,1.023878574,0.665205137,-1.143555722,X
20,0.894599873,0.046885705,0.033239007,-0.497236684,1.032099756,-0.084620055,-0.763533122,-1.332128355,-0.229605508,0.137485388,I
21,0.132482437,0.110411922,0.155559874,0.933214559,0.975529993,0.356935561,0.351118492,-1.438018018,0.879460282,0.93295541,I
22,-3.579642245,0.508558445,0.411677523,-0.594567562,-4.85085108,1.195353155,0.969359091,-0.874843454,-0.706029469,0.739310789,W
23,-0.074912676,0.622417273,-0.004274508,-0.519525284,0.25354835,-0.719382673,0.336914838,0.726392873,0.074116742,-1.143789786,G
24,-0.416271991,0.145146749,0.389876596,-0.982302316,0.262533492,-0.504558132,0.721225633,1.327791565,0.137004889,-0.562006324,E
25,0.703505275,0.089380785,0.162990516,0.086979521,1.027282469,-0.891830833,-3.037917128,1.179759501,1.298576123,-0.285138915,I
26,0.104486146,0.744528204,0.307858024,-0.590907615,0.238669505,-0.547784609,0.290258799,0.17165438,0.506055931,-1.422478,H
27,-0.073425335,-0.23978162,0.372144027,1.921033616,0.911210233,0.555633517,0.159608076,-0.453393299,-0.080404084,-0.139715301,I
28,-0.349080727,-0.296077353,0.4095584,0.590179367,0.14862326,1.429958864,0.460381594,0.886312883,1.068603265,1.22183259,X
29,4.349812096,0.326729422,0.073937168,-0.269075821,0.25724023,-0.310590858,-0.108211128,-0.001036285,0.510936562,0.183614285,I
30,-0.528079396,-0.261775749,0.0591512,0.892560663,0.269850947,0.084192047,0.404997574,-0.703427396,-0.67301225,-0.460847451,W
31,0.400467099,-0.234339554,0.386460435,-0.222509969,0.642376384,-0.765272298,-1.171283697,0.958890428,0.705902473,-0.648021833,I
32,-0.039686941,0.194009941,0.003015701,1.327343418,0.142861092,-0.504324386,-1.082323577,3.48351847,0.039359255,-0.185121963,I
33,-0.40999532,-0.005299187,-3.037836932,1.968614153,0.175626434,-0.973800939,0.12279895,0.909834204,1.192549371,1.22399388,X
34,0.193587432,1.661833035,0.381846039,-0.883693574,0.277635464,-0.888367902,0.049008895,-0.603612338,-1.772261745,-0.257563896,X
35,-0.01144997,-0.902607721,0.123269908,-0.360526985,0.255199561,-0.160656568,0.445602156,-0.034217214,0.748429238,-0.108904247,A
36,-0.206198949,0.055236161,0.341010054,0.726645262,0.635751904,0.924058064,0.281319487,-0.943707502,0.604651123,0.97630767,Y
37,-0.213701646,0.458178421,0.41256301,0.808305769,0.207699013,0.659789326,0.138893897,0.933730236,0.889097983,-0.513823213,X
38,-0.189594954,-0.087881927,0.292411307,0.117068199,0.257843648,-0.67365778,0.31223716,-0.022850963,-0.049910422,-0.259158713,F
39,-1.164350226,-0.512930528,0.380430437,0.487050802,0.145424814,1.107953736,-0.048863093,0.975406889,0.891079419,0.39244264,X
40,0.142310518,0.748430668,0.221982754,-1.07659488,0.242670891,0.962108982,0.643142174,1.170376515,-0.730653112,0.310948051,F
41,-0.311376671,0.043394103,0.548604848,1.958932168,0.270550734,-0.457644806,0.156711369,0.508952621,1.30149535,-0.582586977,X
42,-0.179410863,0.286182364,0.287994066,-0.14582898,0.254191712,0.464325219,0.385012521,2.583232726,-0.428858573,0.670466784,F
43,0.124791294,-0.040953814,0.215692308,-0.203736008,0.951777121,-0.849682835,-1.568478521,-3.317604335,0.160133513,-0.272003633,I
44,-0.10989255,0.04007518,0.489771986,1.91971814,0.151499523,-0.515795032,0.023193326,-0.403182265,0.661514987,-3.779868363,X
45,-0.050162162,-0.214432441,-3.257229225,-0.736761219,0.90448534,-1.028838321,-1.164610598,2.511326491,1.56750204,-0.71278164,I
46,-4.008732551,0.743991607,-2.928562317,-0.842117649,-4.984431922,1.488601016,0.319406029,-0.492635468,-2.173225036,-0.158257411,A
47,0.534820755,-0.021222692,0.215808297,0.183707768,1.028046379,-1.870132573,-1.667254662,-1.735343353,-0.145754355,-7.203231624,I
48,0.035221061,-2.334373553,0.25168857,-0.581297207,0.861261697,-0.466642608,-1.678281137,0.091405975,1.789383804,0.175613067,I
49,-3.835673574,0.238180588,-3.06177074,-1.312066423,0.262852408,2.19021117,0.26810678,-0.095986991,-1.16728827,0.860580681,W
50,0.392185755,-0.342871299,0.224705627,-0.980303241,1.003854561,-0.398874776,-1.145171847,-0.096944178,0.784003089,-0.384584051,I
51,-0.29560925,-0.119968505,0.219427729,0.04256208,0.140083709,-0.084705579,0.571157953,0.465842736,-0.112268646,-0.317158056,E
52,0.488200474,0.023448114,0.137081211,-0.576619562,0.963828094,-1.080427099,-1.644483695,-3.576555254,1.940642945,-0.002812675,I
53,-1.180766662,-0.335794697,0.5284611,-1.479127678,-1.246262038,-0.156728195,-0.11304664,-1.346649297,-1.144608113,-0.416884805,D
54,-0.227399661,-1.482327816,0.509224533,1.011450597,0.17304021,1.623495511,0.632348652,0.594363452,-0.258122761,1.828761487,Y
55,0.652402132,0.167119552,0.064533835,1.809705092,-2.035561449,2.723741718,0.177926572,0.776118999,1.41672988,0.266780599,I
56,-0.08255638,0.535324135,0.313470443,0.566423016,0.231881129,1.365342135,-0.093209885,0.186611557,-0.839999813,0.533215643,X
57,-0.200205851,-0.140912192,0.836124222,-0.220573627,0.150553462,0.899437772,-0.321334815,1.690000812,0.512909533,-0.927454372,W
58,0.259625464,0.596444774,0.237705604,-1.744449174,0.16753176,-0.821950191,0.182648581,0.190631774,0.393647547,-1.118360595,W
59,-0.053393068,0.487884352,0.205162413,-0.685972687,0.268248521,0.010923786,0.603179382,-1.468937166,-0.749157442,0.81430726,F
60,-0.048685989,-1.249567615,0.135003005,-0.830332515,0.254458454,-1.019548769,-1.573017476,-3.543961984,1.021344794,0.042017212,I
61,-0.221551686,0.094614624,0.238780525,-0.390217074,0.269634073,0.636051917,0.638539912,-0.431125259,-0.040842311,-0.238375581,F
62,0.151709856,-0.0876039,0.198550816,0.145805285,0.276659826,0.113982314,-0.096426624,0.89786806,-0.07843254,0.345785251,I
63,0.001003016,0.294123263,0.444840519,-0.305887806,0.26618273,-0.887189212,0.294637814,0.340384666,0.170136133,-0.959347311,W
64,0.11917294,0.082516846,0.16837342,-0.176696789,0.166370888,-0.355000141,0.583488538,-1.040381028,0.179521308,0.717179466,I
65,-0.231504613,0.29559962,0.302055072,1.620281283,0.260941646,0.315337084,0.209694092,-1.057868307,-2.261176248,0.212866619,A
66,-0.480175873,-0.132115224,0.469466958,1.073356492,0.260392843,0.842565742,-0.268128078,0.230195497,0.282505817,-0.880829113,E
67,-0.07674789,0.205924945,0.447073544,-0.341680195,0.52677876,-0.174876441,-1.686557558,-0.005185159,0.165789702,0.140925032,Y
68,-0.480902379,0.058616331,0.479101638,2.436966135,0.115216501,1.375931162,0.614024156,2.097549307,1.500077728,0.792367852,X
69,-0.18828647,0.0082492,0.298294747,1.044844661,0.170394569,0.508346692,0.330896447,-0.344441731,0.392472258,0.248582251,W
70,-0.083774954,0.130461725,0.485446114,1.267493428,0.199436223,-0.024010589,0.244447833,1.22980667,1.803483526,-0.129166138,X
71,0.083119324,-0.22294467,0.480794214,0.9045221,1.026359126,-0.398817379,-1.162008726,0.023084477,0.525345665,0.317763425,I
72,0.125581548,-0.16709579,-3.093497265,0.143225498,0.960604461,-0.512508203,0.272216552,-0.148641996,0.71406699,-0.882757522,I
73,-3.672723611,-0.283679812,-2.035714398,1.379197094,0.158320323,0.440732209,0.362546473,0.203843956,0.074399857,0.596404716,W
74,-0.809577457,0.041772296,0.526753051,0.725868314,0.701693985,0.605237939,0.437166597,-0.986328047,-0.716916559,-1.959722974,Y
75,-0.462692158,-0.205224763,0.773710136,2.84692506,0.240982109,1.850585822,0.21809829,-0.542252791,-0.692643407,1.252556552,W
76,-0.102932315,-1.570868869,0.412133896,0.51313095,0.263495189,1.397721018,0.505423897,0.349769624,-0.131799285,0.020193131,X
77,-0.079991759,-0.241945779,0.697821465,0.467956747,0.708500132,0.515530672,0.12454337,-1.796828067,-0.326339455,0.3265127,Y
78,-0.19394055,0.178091136,0.141087866,0.090930895,0.2652376,0.784870222,0.145289921,-0.038596805,0.386001722,0.421422869,I
79,0.381176603,0.256906844,0.043634672,0.118580146,0.186989123,1.526606437,0.252166082,-0.603217128,-0.990839188,0.331194389,I
80,0.281518561,0.312099316,0.275391785,-0.146016505,0.247752648,-0.649231647,-0.997927295,0.155576874,0.195813594,0.07833974,I
