PA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0,LABEL
0,-0.042522,0.407516,-3.210528,-0.636404,0.261718,0.813187,0.673182,0.022463,0.032902,0.504605,A
1,-0.116585,-0.212727,-0.027547,-0.927921,0.351096,0.979286,-0.006326,-0.687636,0.126447,1.097897,E
2,0.266074,-0.16562,0.32098,0.483299,0.17234,0.024215,0.710932,0.52074,0.157628,-0.280896,A
3,0.080916,0.588093,0.01513,0.00225,0.261718,-0.307984,0.371178,1.521488,-0.029461,-0.357687,F
4,0.192011,0.242641,0.164499,0.576722,0.261718,0.522513,0.899684,-1.436158,-0.933723,0.017372,A
5,0.809204,-0.09496,0.118265,0.987502,0.976743,-0.972381,-1.214339,0.633252,1.373706,-0.087857,I
6,0.648733,-0.197025,0.029355,0.335213,-0.185173,-2.176602,-1.629594,-1.369156,-0.372457,-1.097402,I
7,-0.314087,-0.040001,0.303198,1.37665,0.17234,0.14879,0.295677,1.044936,1.747883,0.091837,X
8,-0.116585,0.069915,0.068476,-0.783147,0.261718,0.896237,0.333428,0.349341,-0.310094,0.698017,A
9,-0.338774,-0.197025,0.530808,1.146271,0.708609,0.41178,-0.572582,1.222879,1.46725,0.882171,X
10,-0.104241,-0.338346,0.384996,-0.096275,0.261718,-0.224934,0.446679,-0.387047,0.500624,-0.324222,E
11,0.229043,0.109171,-0.066668,0.073324,0.261718,0.688613,-0.044076,-0.240577,0.001721,0.802547,A
12,0.907954,-0.330495,0.132491,1.039033,0.887365,-1.719828,-0.610333,-3.598025,-3.303515,-1.46729,I
13,-0.338774,-0.314793,0.449011,1.243006,0.797987,-0.058835,-1.063338,1.882187,2.433876,0.745346,X
14,-0.338774,-0.291239,0.520139,1.054429,0.261718,-0.10036,-0.044076,0.963741,0.781258,0.053501,E
15,0.229043,0.014957,0.395665,-1.399572,0.082961,-0.972381,0.031425,-0.437954,-0.466001,-0.801147,H
16,0.401857,-0.220579,-3.210528,-1.185513,-1.168333,0.024215,-2.648855,0.626612,1.436069,-1.777817,I
17,-0.338774,-0.22843,0.584154,2.123586,0.261718,0.231839,-1.025587,1.591713,2.059698,1.063673,X
18,0.229043,-0.008597,0.175168,0.087408,0.17234,-0.723232,0.106925,0.43539,0.375899,-0.592557,A
19,-0.178304,0.014957,0.264078,0.582361,0.17234,0.605563,0.220177,0.504373,-0.060642,0.553307,A
20,0.192011,0.242641,0.164499,0.576722,0.261718,0.522513,0.182426,-0.668958,0.18881,0.518528,A
21,1.043737,-0.401156,0.473906,0.506215,0.261718,-0.183409,0.106925,0.909844,-0.933723,-0.110497,A
22,0.25373,-0.197025,0.260522,0.326888,0.261718,-0.141884,-0.157328,0.599023,0.126447,0.081011,F
23,-0.091897,-0.29909,0.562816,1.131322,0.440474,0.024215,-1.32759,1.767131,1.716702,1.095824,X
24,-0.128929,0.289748,0.235627,1.057473,0.17234,0.356414,1.050686,-0.006291,0.313536,-0.085024,E
25,0.15498,-0.275537,0.417003,0.813815,0.261718,0.564038,0.333428,1.079748,0.812439,0.43765,A
