PA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0,LABEL
1,-0.773803,-0.291239,0.456723,-0.314123,0.082961,1.103861,0.597681,0.134794,0.126447,0.718911,A
2,0.354235,-0.197025,0.299642,-1.628374,0.261718,-0.847807,-0.308329,-0.783061,-1.982534,-0.515284,A
3,0.364825,-0.446851,0.410349,-0.140125,0.261718,-0.058835,-0.157328,-0.613754,-0.247731,0.133666,F
4,0.438888,0.062064,0.104409,-0.852257,0.261718,1.103861,1.352689,-0.83888,-0.029461,0.474377,A
5,3.265629,-0.283388,-0.02265,-0.479719,0.261718,0.730137,0.55993,-0.397496,-0.403638,0.506459,A
6,-0.215336,-0.016448,0.584154,0.523859,0.261718,0.439463,-0.157328,-0.108805,0.064084,0.576664,F
7,-3.498799,3.846334,-0.052652,0.660103,-4.922215,-0.432558,0.52218,0.421188,-2.962156,-0.584354,A
8,0.09326,-0.385453,0.352988,0.59574,0.261718,0.314889,0.408929,0.280623,0.781258,0.159084,A
9,0.117948,0.06191,0.217845,0.013917,0.17234,0.647088,-0.006326,0.253507,0.251173,0.66577,A
10,0.019197,0.038511,0.19295,0.623357,0.261718,0.771662,0.446679,0.264203,0.064084,0.633872,F
11,0.056229,-0.283388,0.185837,-1.64971,0.261718,-0.889332,0.446679,-0.790798,-0.87136,-0.839194,A
12,5.759087,-1.044953,0.013589,0.522303,0.261718,-1.798958,-0.044076,-3.809496,-3.118133,-1.576847,A
13,0.130292,0.077766,0.299642,-0.693335,0.261718,-0.847807,0.031425,-0.741823,-0.154186,-0.776975,F
14,-0.22768,0.289798,-0.006209,0.335924,0.261718,1.020811,0.597681,-1.338044,-0.154186,0.761508,A
15,0.019197,0.038511,0.082442,0.046607,0.261718,0.730137,0.635431,-0.491683,0.126447,0.460159,F
16,0.327793,0.50173,0.050694,-1.018301,0.261718,-0.266459,0.408929,-0.530482,-0.060642,-0.333593,G
17,0.031541,-0.3912,0.175168,-0.807276,0.261718,-0.640182,0.295677,-0.628069,-0.341275,-0.520414,F
18,0.200954,-0.134216,0.025799,0.472149,0.17234,-0.681707,-0.232828,1.379174,1.998972,-0.433387,I
19,-0.017834,2.426761,0.204478,0.114917,0.261718,-0.058835,-2.648855,-2.011505,-1.981438,-1.500947,H
20,0.63639,-0.063555,0.132491,-0.631719,0.976743,0.979286,-1.365341,-0.751116,0.40708,2.15564,I
21,-0.042522,0.305351,-0.006209,1.071651,0.351096,2.100457,0.786433,-0.922723,-0.43482,1.696068,A
22,0.105604,-0.047852,0.274747,-0.66527,0.261718,-1.096956,0.182426,0.151668,0.344717,-0.907304,A
23,0.167323,0.195434,0.242732,0.043737,0.261718,-0.515608,0.106925,0.482756,0.157628,-0.433667,F
24,0.266074,0.156278,0.11513,-0.187915,0.261718,-0.598658,0.182426,-0.147316,-0.123005,-0.578152,A
25,0.809204,-0.087108,0.374765,-1.262663,0.261718,0.14879,0.333428,-0.679016,-0.933723,0.011226,A
26,-0.00549,-0.479812,0.06365,0.503674,0.261718,0.813187,-0.006326,1.002755,-0.060642,0.728194,A
27,0.142636,0.280382,0.324996,0.749222,0.261718,-0.391033,0.408929,1.592564,0.126447,-0.415225,A
28,-0.079554,-0.173471,0.367214,0.324501,0.261718,0.190314,-0.270579,-0.096669,-0.559546,0.488421,F
29,-0.00549,-0.220579,-3.210528,1.024185,0.261718,-0.183409,0.673182,0.184911,0.656532,-0.41423,A
30,0.15498,-0.471816,0.339221,0.510797,0.261718,1.26996,0.408929,-0.292706,0.251173,0.971442,A
31,-0.017834,-0.016448,0.274747,-0.18082,0.261718,0.356414,0.295677,-0.871549,-1.218256,0.227191,A
32,-0.314087,-0.416858,0.569929,1.073671,0.261718,0.896237,-0.308329,-0.713034,0.001721,1.120253,Y
33,0.984981,-0.173471,0.13315,-0.809919,0.976743,-1.096956,-1.214339,0.917583,1.433706,-0.281857,I
34,-0.588151,-0.354049,-3.210528,0.258817,0.261718,0.937762,0.408929,0.780885,0.469443,0.632818,E
35,-0.042522,-2.395356,-3.210528,-1.178463,-0.921442,-3.380726,-5.746346,0.11586,0.251173,-1.630908,A
36,-0.042522,0.76807,0.534344,0.857255,0.261718,0.14879,-0.157328,0.644452,0.375899,0.256497,F
37,-0.22768,-0.997846,0.406793,-2.167892,0.261718,-1.30458,0.182426,0.297648,0.843621,-1.137142,E
38,0.09326,0.117022,0.14316,-0.520103,0.261718,0.314889,0.295677,-0.238642,-0.032902,0.292341,A
39,0.080916,0.164129,0.19295,0.816007,0.261718,0.273364,-0.081827,0.727725,-0.185368,0.496145,A
40,0.290762,0.156278,-0.112901,0.226204,0.261718,-0.183409,0.975185,-0.245175,0.531806,-0.505769,H
41,0.278418,-0.369751,0.484575,0.126884,0.261718,-0.972381,0.031425,0.348607,-0.310094,-0.815846,F
42,0.266074,-0.134216,0.214709,0.412629,0.261718,0.647088,0.55993,-0.494878,0.18881,0.362835,A
43,-0.116585,0.281897,0.384537,-0.318275,0.261718,-0.681707,0.635431,0.309005,0.032902,-0.715585,F
44,0.080916,0.148537,0.310311,-1.019203,0.261718,1.26996,0.144676,-0.251186,-0.997183,1.143607,A
45,0.192011,-0.241983,0.362316,-0.572538,0.261718,-0.266459,0.635431,0.283696,-0.777816,-0.496384,F
46,-0.030178,0.014957,0.254078,0.244062,0.261718,0.439463,0.446679,0.465826,0.251173,0.28166,A
47,0.043885,0.493965,0.235627,0.20567,0.261718,0.564038,0.748682,-0.145708,-0.437183,0.200179,A
48,-0.363462,0.289748,0.036468,-0.215884,0.261718,-1.761353,-0.081827,-2.00655,-3.110426,-1.276086,E
49,-0.00549,-0.314793,0.410749,-0.071426,-1.078955,-0.681707,0.408929,0.321945,0.718895,-0.755383,E
50,-0.202992,-0.479668,-3.210528,-0.88764,0.261718,-1.470679,-0.081827,-3.565757,-3.369878,-1.141115,D
51,0.229043,-0.275537,0.441439,0.18162,0.261718,0.937762,0.333428,-0.871743,-0.123005,0.847076,A
52,-0.375806,0.336855,0.000634,0.88287,0.261718,0.06574,0.333428,-0.57255,-0.216549,-0.153636,F
53,0.117948,-0.220579,0.328552,-0.226134,0.261718,0.231839,-0.119577,-1.355472,0.126447,0.48768,A
54,-0.030178,-0.063555,0.274747,-0.074925,0.261718,-1.013906,-0.006326,0.369838,0.438262,-0.826885,F
55,-0.128929,-0.212727,0.23207,0.150491,0.261718,1.43606,0.182426,-2.050868,-1.339082,1.409185,F
56,-0.22768,-0.997846,0.356544,-0.026932,0.261718,-0.515608,0.220177,0.717661,0.812439,-0.474755,D
57,4.96908,-0.242537,0.067386,-0.554821,0.17234,-1.22153,-2.913108,0.669265,-0.466001,-2.129356,A
58,0.377169,0.022808,0.13295,1.85299,0.261718,0.024215,0.635431,1.143317,0.562987,-0.225058,A
59,0.229043,-0.22843,0.324537,-0.869141,0.261718,-0.681707,0.295677,-0.210706,0.313536,-0.692982,F
60,0.117948,0.054213,0.189496,0.832829,0.261718,0.771662,-0.006326,0.57281,0.095265,0.715614,A
61,-0.128929,-0.314793,0.445454,0.28375,0.17234,-0.141884,-0.195078,0.694617,-0.123005,0.072709,F
62,-0.042522,0.062915,0.392329,0.240771,0.261718,1.062336,0.069175,-0.325076,-0.123005,0.929725,A
63,0.080916,0.408921,0.413447,0.145048,0.17234,0.314889,-0.195078,0.197651,0.469443,0.326853,A
64,1.37702,0.251239,0.339201,-1.019853,0.261718,-0.349509,-2.648855,0.471547,-0.001721,-1.557191,F
65,-0.042522,-0.079257,0.381439,0.505721,0.261718,0.605563,0.371178,0.902184,-0.528364,0.575214,H
66,0.846235,0.014957,-0.052442,0.98795,0.261718,0.14879,0.937434,0.106262,-0.154186,-0.451539,A
67,-0.252367,-0.314793,0.452567,0.383848,0.17234,-1.470679,0.295677,-0.877479,-0.060642,-1.315712,F
68,0.389513,0.336855,-0.010672,1.119927,0.261718,2.349606,0.861934,-1.301156,-0.310094,1.801929,A
69,0.31545,0.289748,0.345875,-0.955874,0.261718,-0.349509,0.220177,1.302553,0.282354,-0.21496,H
70,0.216699,-0.055704,0.491642,0.081295,0.261718,-0.349509,0.144676,1.010926,-0.278912,-0.222098,A
71,0.624046,0.077766,0.118265,0.827302,0.261718,-0.432558,0.446679,0.989664,0.937165,-0.420042,A
72,-2.215039,-0.43256,0.224527,-0.870774,0.261718,0.937762,0.748682,0.645956,1.498432,0.668036,A
73,0.241386,-0.322644,0.310311,0.49055,0.261718,1.228436,0.408929,-0.555577,-0.621908,1.094205,A
74,0.09326,0.305451,0.036468,0.400344,0.261718,0.688613,0.257927,-0.52194,0.18881,0.530011,A
75,0.846235,0.014957,-0.052442,0.98795,0.261718,0.06574,0.484429,1.459249,0.032902,-0.095915,A
76,-3.498799,-0.055704,-3.210528,0.494823,-4.922215,-0.391033,-1.519343,1.444201,-0.029461,1.294643,Y
77,0.142636,0.486028,0.000473,-0.909702,0.17234,0.06574,0.484429,-0.55765,-0.216549,-0.078016,G
78,0.377169,0.289748,0.100483,-0.022058,0.261718,-0.224934,0.257927,-0.707413,-0.287731,-0.267807,A
79,0.759828,0.132725,0.132042,0.25795,0.082961,1.920858,1.050686,-1.692691,-0.123005,0.679475,A
80,-0.22768,0.423218,0.235627,-0.175429,0.261718,0.356414,0.333428,-0.202317,-0.216549,0.268804,E
81,-0.116585,0.061404,0.185837,1.342413,0.17234,-0.141884,0.069175,0.354001,-0.029461,-0.026955,A
