PA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0,LABEL
10001,0.243655,0.214897,0.27577,0.558066,0.17718,-0.213648,0.123176,1.025945,0.155988,0.02517,A
10002,-0.060533,0.413635,-2.771954,-0.285968,0.27289,0.69067,0.282146,0.934332,0.385052,0.370352,A
10003,0.005629,-0.275562,0.072725,-0.696314,0.236531,0.864005,0.255095,-1.239061,-0.269114,0.729522,A
10005,0.086298,-0.137965,0.017145,0.042756,0.240296,0.127812,0.267964,-0.02883,-0.169701,-0.07158,F
10006,0.165627,0.16794,-2.418503,-1.499359,0.208548,-0.534108,0.220367,-0.345225,-0.30328,-0.444719,A
10007,0.321531,-0.031823,-2.595445,-2.763075,0.255071,-0.488675,0.245393,-0.7934,0.067251,-0.669574,A
10008,-0.095476,0.044929,0.062099,-0.116343,0.24856,-0.658913,0.264798,0.915613,0.514932,-0.826469,F
10009,0.126476,-0.330464,0.187613,-0.592535,0.266569,-0.566599,0.087365,0.746343,0.238043,-0.573547,H
10010,-0.388172,0.204493,0.241039,0.486267,0.274956,-0.760679,0.523561,1.658837,1.078672,-0.721922,E
10013,-0.032541,-0.027781,0.182098,-0.737006,0.211913,-0.297922,0.659448,-1.876462,-0.873647,0.11906,F
10014,0.027745,0.255058,0.139562,-0.045576,0.255085,0.194628,0.21591,0.133536,-0.04674,-0.037822,A
10015,0.38976,-0.144659,0.116231,0.065409,1.007677,-0.909028,-0.709872,-0.422004,1.129586,-0.473066,I
10017,0.031946,0.005524,0.226626,-0.584009,0.273099,-0.327853,0.021897,-0.654695,0.02909,-0.14512,A
10018,-0.052837,-0.315906,0.436503,0.973602,0.784342,0.819245,-0.872654,0.079399,0.224676,1.586274,Y
10019,-0.069562,0.241542,0.294948,0.219409,0.261718,0.018548,0.205422,0.109116,-0.136562,-0.135933,F
10020,0.080048,-0.428,0.39161,0.560094,-0.070938,1.022703,0.13972,-0.161986,0.391419,0.581532,A
10021,0.076811,-0.413506,0.188254,-0.213858,0.230093,0.883038,0.090218,-0.648722,-0.048942,0.936996,A
10022,0.156818,0.152716,0.314907,-0.801367,0.251223,-0.89613,0.207862,-0.176133,-0.160219,-0.950594,F
10023,0.032488,-0.265016,0.066322,0.424063,0.215768,-0.052426,0.67054,-1.06678,-1.022282,0.376134,A
10024,-0.02684,-0.296515,0.302307,-0.079645,0.237072,-1.098324,0.194274,0.447387,0.338774,-0.992991,D
10025,0.298185,-0.365674,0.22494,0.260977,0.259444,-0.558771,0.479772,0.594951,0.165316,-0.440248,F
10026,-0.037805,-0.259667,0.305813,1.426236,0.21342,1.142807,0.375492,0.489871,-0.267018,0.848418,A
10027,0.061937,-0.045482,0.469953,-0.640075,0.258064,1.19295,0.233734,-1.250822,-0.590893,0.912738,H
10028,-0.080292,0.033969,0.112419,0.313031,0.259856,-0.42089,0.332912,1.330461,0.931727,-0.189256,X
10029,0.472497,-0.243004,-0.010798,-0.062437,0.98149,-0.735162,-1.015445,0.302443,1.311326,-0.443716,I
10030,0.297905,-0.150171,0.124575,-0.909468,0.27013,-0.695856,0.305524,-0.692175,-0.093671,-0.844771,G
10031,0.219355,-0.229696,0.194306,-1.171837,0.213946,-0.321631,0.259146,0.569551,-0.437857,-0.142302,A
10032,-0.018493,0.230049,0.191707,-0.554363,0.221573,-1.593215,0.646397,-2.370925,-2.876935,-0.709408,E
10033,0.002687,0.254039,0.083882,0.146818,0.239027,-0.607322,0.231856,-0.832903,-0.323419,-0.492873,E
10034,0.011373,-0.092055,0.075711,0.491139,0.259728,-0.076853,0.231703,0.222658,0.16992,-0.215901,F
10035,0.356524,-0.139928,0.375703,-1.252723,0.282719,-0.066745,0.452207,1.334628,0.128428,-0.227994,A
10036,0.044238,0.21933,0.231591,1.734997,0.177885,0.044206,0.349182,1.037888,0.249948,0.249285,A
10037,-0.077984,0.135016,0.180078,-0.013118,0.22188,-0.964466,-1.841994,1.078519,0.387273,-0.951829,A
10038,-0.014663,-0.040229,0.335387,0.644737,0.275558,-0.370489,-0.129375,1.473974,0.987486,-0.312396,E
10039,0.292827,-2.014463,0.106592,-0.451316,0.081114,-0.339286,0.174321,0.158985,0.000513,-0.650967,A
10040,0.10722,-0.342086,0.24144,-0.210235,0.155198,-0.836946,0.084659,0.486349,0.088454,-0.689981,F
10041,0.084445,0.24079,0.328604,1.2197,0.250955,0.762915,-0.015437,-0.356003,-0.97694,0.181443,A
10042,0.644427,-0.303231,0.15984,-0.52086,0.924131,-1.12863,-1.253968,-0.353712,1.378832,0.190869,I
10043,-0.014706,-0.636532,-3.395162,-0.661032,-0.709778,-0.08247,0.441259,0.29639,0.494306,0.227514,A
10044,0.023339,-0.36041,0.28179,0.117076,0.184565,0.114427,0.210938,-0.083365,0.137876,0.320826,D
10045,0.070903,0.310467,0.360884,0.50696,-1.037431,1.989921,-0.006486,-0.616328,-0.202311,1.424229,A
10046,0.074572,-0.31199,0.378885,0.077216,0.147008,-0.137831,0.386755,0.306006,0.332715,-0.248161,A
10047,0.10136,-0.201195,0.293452,0.860752,0.261718,0.120951,0.424692,0.743445,0.130296,0.051594,A
10048,-0.221451,-0.286931,0.139395,1.141534,0.273337,1.102874,0.241537,0.202846,0.542301,1.120518,A
10049,0.144977,0.822106,0.243627,0.312523,-1.037465,1.303927,0.084564,-0.117131,0.267845,1.110908,A
10050,0.0635,-0.202633,0.240035,0.262609,0.249216,0.393019,0.298937,0.189078,0.238809,0.182202,F
10051,0.110797,0.085532,0.223438,0.347344,0.261075,0.086157,0.339111,0.321703,-0.019703,0.313348,F
10052,0.089556,-0.157891,0.212319,-0.205091,0.256815,0.306617,0.552397,-0.603111,-0.746144,-0.153106,A
10053,0.010566,0.404156,0.328979,0.812429,0.241597,0.435199,-0.049859,0.395037,0.421847,0.438941,X
10054,0.219282,-0.153955,0.455359,-1.12718,0.28201,-0.360844,0.487668,1.329361,0.736483,-0.324024,E
10057,0.127304,-0.940682,0.270666,-0.030703,0.109293,-0.574381,0.153115,0.979042,0.305968,-0.3077,A
10058,-0.281973,-0.306523,-2.482907,2.000824,0.245893,2.224214,0.133434,1.53557,1.810109,2.056662,X
10060,0.7511,-1.161927,0.029585,0.435411,0.936548,-0.572573,-1.46146,0.553943,1.205277,-0.240497,I
10061,0.235387,0.065211,0.109631,-0.052035,0.26976,-0.444211,0.017655,0.49257,-0.186767,-0.282764,F
10063,-0.577878,-0.025708,0.368542,0.246886,0.149132,0.618663,0.40705,-0.400972,0.284179,0.343586,D
