,PA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0,LABEL
10001,10001,0.2513,-0.171871,0.273091,0.612386,0.181711,0.29215,0.540954,0.745667,0.269206,-0.057167,A
10002,10002,-0.04369,0.235233,-1.878708,-0.193806,0.250082,0.810144,0.310149,0.401984,0.542318,0.149706,A
10003,10003,0.179789,0.06644,-0.049817,-0.774452,0.257509,0.364226,0.153477,-0.768268,-0.12084,0.437596,A
10005,10005,0.113108,0.230531,0.090831,0.039936,0.231692,-0.373273,0.120829,0.148013,-0.062886,-0.268251,F
10006,10006,-0.085485,-0.375138,-2.211087,-1.244254,0.189712,-0.351622,-0.076176,0.048648,-0.269408,0.086598,A
10007,10007,0.351284,-0.125008,-2.54606,-2.622442,0.239235,-0.138186,0.238112,-1.251,-0.539683,-0.794234,A
10008,10008,-0.121935,-0.123845,0.26425,-0.0672,0.199087,-0.601155,0.291348,0.899318,0.469529,-0.879908,F
10009,10009,0.290907,-0.061187,0.274568,-0.812098,0.233198,-0.623807,0.135227,0.642353,0.270466,-0.52607,H
10010,10010,-0.193263,0.093921,0.395291,0.449591,0.278252,-0.68688,0.426734,1.538671,0.81052,-0.765189,E
10011,10011,-0.087793,-0.278632,-3.671589,-1.080631,-0.427277,-0.286377,0.640543,-1.026721,-0.227185,0.083719,A
10013,10013,0.120649,-0.000764,0.149248,-0.604557,0.257844,0.387589,0.0517,-1.655684,-1.127951,-0.20189,F
10014,10014,0.12289,-0.050286,0.293848,0.013527,0.26574,-0.114262,0.094317,-0.016528,-0.166369,0.141326,A
10015,10015,0.504125,-0.227399,0.136362,0.105417,0.997616,-0.670084,-0.771129,-0.156204,1.484816,-0.642357,I
10017,10017,0.114138,0.241474,0.188424,-0.6134,0.263203,-0.451199,0.601304,-0.446868,-0.202834,-0.440958,A
10018,10018,-0.332568,-0.240278,-0.007997,1.071449,0.72869,0.177883,-1.463582,0.094839,0.695401,1.149758,Y
10019,10019,-0.014033,0.366149,0.182176,0.195797,0.252286,0.070594,0.288809,0.237015,0.081765,-0.102567,F
10020,10020,0.136702,0.197803,0.452688,0.383421,-0.003213,0.88143,0.420362,-0.004737,0.266542,0.677765,A
10021,10021,0.066063,-0.258309,0.170911,0.027921,0.223736,1.178645,0.258334,-0.898096,-0.316516,0.792162,A
10022,10022,0.232096,-0.099943,0.317876,-0.648194,0.272784,-0.554378,0.361336,-0.221246,-0.19006,-0.619624,F
10023,10023,0.097292,0.004986,0.113573,0.490439,0.248237,0.050136,0.244466,-0.741323,-0.548943,0.151524,A
10024,10024,-0.120761,-0.214007,0.25199,-0.076901,0.182237,-1.052097,0.194497,0.351771,0.104548,-0.809858,D
10025,10025,0.242011,-0.302777,0.164716,0.351499,0.264843,-0.539301,0.204854,0.595589,-0.064901,-0.287981,F
10026,10026,-0.001279,0.048096,0.306598,1.520771,0.263822,1.180149,0.146937,0.157108,0.663452,0.692185,A
10027,10027,0.095975,-0.041663,-0.272708,-0.703875,0.254641,1.077173,0.172375,-0.781009,-0.20198,1.056915,H
10028,10028,-0.308495,-0.188209,-1.179949,0.340877,0.289735,-0.456163,-0.01602,1.094446,0.558247,-0.370103,X
10029,10029,0.433605,-0.371941,-0.071124,-0.132452,0.985644,-0.947568,-1.265214,0.215513,1.066406,-0.228476,I
10030,10030,0.320839,-0.327339,0.171794,-0.870647,0.255912,-0.710797,0.558757,-0.404216,0.191853,-0.989529,G
10031,10031,0.14665,-0.057102,0.300456,-1.126573,0.229836,-0.353892,0.112406,0.629835,0.416247,0.165759,A
10032,10032,-0.141335,-0.156466,-0.452703,0.231344,0.263717,-1.504009,0.332815,-2.585842,-3.020554,-0.925141,E
10033,10033,-0.005395,0.26553,0.149889,0.069029,0.26834,-0.498085,0.651387,-0.96073,-0.710428,-0.210429,E
10034,10034,-0.016414,0.411104,0.298486,0.491489,0.248434,0.049786,0.542583,0.481873,0.269081,-0.113074,F
10035,10035,0.141804,0.183049,0.178439,-1.099439,0.200481,-0.528847,0.09486,0.755113,-0.016807,-0.055385,A
10036,10036,-0.026022,-0.240328,-0.101981,1.719204,0.236268,0.372019,0.590838,0.969512,0.225502,-0.100575,A
10037,10037,0.142877,0.024681,0.53058,-0.131478,0.191374,-0.96881,-2.078903,1.276218,0.979415,-0.93716,A
10038,10038,-0.166787,-0.030099,-0.066925,0.579084,0.273298,-0.28463,0.328648,1.479601,0.659714,-0.716395,E
10039,10039,0.14458,-0.043757,0.169517,-0.649288,0.049003,-0.68743,0.514008,0.063996,0.296784,-0.138146,A
10040,10040,0.215054,0.055323,0.440711,-0.301604,0.194888,-0.466115,0.189254,0.275571,0.181283,-0.753221,F
10041,10041,-0.120812,0.188149,0.316558,1.085202,0.276516,0.096228,-0.046526,-0.647698,-0.584943,0.435018,A
10042,10042,0.479647,-0.258385,0.122862,-0.722118,0.946018,-0.606058,-1.418129,-0.283584,1.090245,0.173102,I
10043,10043,0.071301,-0.55456,-1.94932,-0.609869,-0.880183,0.385423,0.549207,-0.026677,0.264382,0.228067,A
10044,10044,0.003061,-0.198967,0.227605,0.11529,0.229361,0.283261,0.066707,0.143708,0.039877,0.293326,D
10045,10045,-0.005944,-0.517842,0.253863,-0.293238,-1.322589,2.19824,0.181901,-0.565731,-0.356543,1.787938,A
10046,10046,0.163828,0.055438,0.103651,0.15187,0.145768,0.15994,0.492613,-0.044801,-0.138355,-0.19236,A
10047,10047,-0.034039,-0.065383,0.175361,0.817989,0.220913,-0.123367,0.283357,0.891039,0.138703,-0.214205,A
10048,10048,-0.074874,-0.101436,0.24239,1.06115,0.26753,1.123223,0.266069,0.435668,0.018264,0.816923,A
10049,10049,0.135017,2.418689,0.119893,0.31808,-0.859121,1.55805,0.60714,-0.058848,-0.331103,1.344175,A
10050,10050,0.053739,-0.200156,0.180378,0.261407,0.266182,0.426532,0.425672,0.070483,-0.142486,0.276923,F
10051,10051,0.152794,-0.022756,0.107744,0.263908,0.224446,0.142085,0.184801,0.342564,0.039531,0.112863,F
10052,10052,0.066418,-0.064154,0.247795,-0.273011,0.279846,0.300112,0.055817,-0.600871,-0.375642,-0.131939,A
10053,10053,3e-06,0.170494,0.378572,0.82584,0.2317,-0.016533,0.280503,0.523269,0.724244,0.02273,X
10054,10054,0.184293,0.110032,0.073605,-0.970316,0.039037,-0.441886,0.42769,1.423753,0.686012,0.101685,E
10056,10056,0.10896,0.364621,0.472201,-0.686324,0.205922,-0.681627,-0.194118,-1.153895,-0.831554,-0.921252,H
10057,10057,0.077926,-0.892847,0.201007,0.095424,0.008417,-0.554343,0.529773,0.601701,0.489169,-0.04545,A
10058,10058,-0.197502,-0.004592,-2.761412,1.844919,0.278127,0.894229,-0.206132,2.086554,1.295485,1.232032,X
10060,10060,0.639554,0.226229,0.066255,0.43803,1.001215,-1.008798,-0.935497,0.311386,1.794454,0.347016,I
10061,10061,0.247966,0.044068,0.291229,0.054149,0.229543,-0.4957,0.052777,0.185004,-0.245411,-0.322309,F
10062,10062,-0.139869,0.172194,0.227642,0.996778,0.215759,0.512222,0.497695,-0.755611,-1.272721,0.524675,A
10063,10063,-0.347643,-0.227366,0.214971,0.169376,0.161403,0.492066,0.450428,-0.055769,-0.135363,0.405038,D
10064,10064,0.119017,0.462437,0.245413,-0.014476,0.245771,-0.18921,0.428584,0.22926,0.243553,-0.196444,F
10066,10066,-0.181567,0.294388,0.16682,0.127634,-0.804112,1.0322,0.098796,-1.214002,-0.263476,1.398386,A
10067,10067,-0.016312,0.355942,0.241753,0.485939,0.254258,0.022979,0.348602,0.280273,0.08953,-0.178325,G
10068,10068,-0.08501,-0.061465,0.154434,-0.671676,0.270152,-0.872816,0.266496,0.383443,0.531334,-0.801745,H
10069,10069,0.40775,-0.250077,0.041591,-0.238679,0.9561,-1.324253,-1.352718,-0.03228,1.659483,-0.4945,I
10070,10070,0.163057,-0.797787,0.267714,-0.737602,0.216775,0.110695,0.087751,0.684822,0.474803,0.375529,A
10071,10071,-0.148756,0.249679,0.211847,0.401719,0.226488,0.65767,0.373656,-0.657323,-0.748495,0.349196,F
10073,10073,-0.06,-0.399737,0.268173,-1.706488,0.314704,-0.385272,0.043006,-0.126004,-0.562872,-0.206587,F
10076,10076,0.041462,1.802015,0.099328,0.257167,-1.132052,0.909024,0.325973,0.064959,-0.310994,0.497285,A
10077,10077,0.132771,-0.068419,0.28121,-0.481162,0.239549,-0.648069,0.294132,-0.755096,0.009338,-0.294171,F
10079,10079,-3.908781,1.803724,0.540738,1.286035,-3.325005,-0.798201,0.28097,1.039366,-1.522492,-0.213219,A
10080,10080,0.17862,0.82523,0.300258,-0.649634,-1.027824,-0.163787,0.656259,-1.088528,0.224111,0.00776,G
10081,10081,0.09334,-0.589356,0.17423,-0.067637,0.221098,1.137177,0.124121,-0.797802,-0.282778,1.093106,A
10083,10083,0.012506,-0.405986,0.262978,0.041158,0.194338,2.175202,0.40658,-1.641219,-1.472,2.465174,F
10085,10085,-0.364066,-0.898079,0.145106,1.92717,0.177505,1.228865,0.617861,0.55883,1.608545,1.117591,X
10086,10086,0.080694,0.42163,0.326696,0.606785,0.189341,0.741828,0.210234,0.121413,0.114769,0.677618,A
10087,10087,0.390756,0.127869,0.135838,1.211198,0.980872,-0.457705,-1.375304,0.933007,1.519409,0.461162,I
10088,10088,0.146536,-0.195186,0.097093,-0.073368,0.246684,-5.9e-05,0.003071,0.185041,0.289526,-0.339862,F
10089,10089,0.140779,0.099743,0.340961,0.359596,0.236256,0.119108,0.358649,0.091911,-0.064792,0.336685,F
10091,10091,0.079156,0.36345,0.112563,0.108426,0.250962,-0.380171,0.380253,0.376006,0.001641,-0.119049,F
10092,10092,-0.546862,-0.000129,-2.004839,0.424595,0.213014,-0.040808,-0.123218,0.929473,0.199258,0.225842,W
10093,10093,-0.071415,-0.209932,-0.28756,-0.976826,0.193537,0.303673,-0.039938,-1.074672,0.049526,0.143588,A
10094,10094,0.015441,-0.053961,0.218722,-0.081415,0.254513,0.976849,-0.087738,-0.701164,-0.416697,1.304983,A
10095,10095,0.097256,0.055304,0.224522,0.095505,0.210804,0.437407,0.128105,0.319383,0.29137,0.379915,A
10096,10096,0.154168,-0.196063,-0.376234,-0.301968,0.162335,-0.110169,0.094553,1.219655,0.139562,-0.446,E
10097,10097,-0.091292,-0.103295,0.347824,-0.223569,0.258103,1.410075,0.335024,-1.41839,-1.03472,1.406734,E
10098,10098,0.063724,-0.021571,0.230353,0.173779,0.224114,0.187342,0.439538,0.184032,-0.120521,0.01934,A
10099,10099,0.034641,-0.208737,0.401457,0.656466,0.178374,0.073911,0.241756,0.458315,0.145466,0.185878,E
10100,10100,0.171324,-0.173708,0.296673,0.679112,0.189325,-0.208402,0.130112,0.888932,0.035383,-0.259799,A
10101,10101,0.274777,0.964578,0.163116,0.707653,-1.160929,0.274751,0.138886,0.380254,0.383992,0.34644,A
10102,10102,-0.030061,-0.158365,0.097613,0.840674,0.25293,0.99622,0.04371,0.011363,0.053049,1.012794,F
10103,10103,-0.157519,0.241707,-1.749851,-0.09394,0.243249,-0.036335,0.037682,1.357295,0.524731,-0.074221,E
10104,10104,-0.081649,0.093615,0.433177,0.56132,0.008109,-0.967157,0.382385,1.683023,0.939443,-0.850098,E
10105,10105,0.513314,-0.148692,-0.084737,0.216245,0.925662,-1.369901,-0.530966,-0.142055,0.35364,-0.718214,I
10106,10106,-0.061072,0.044559,0.160993,-0.131575,0.238151,-0.106622,0.464265,0.392654,0.103489,0.036557,A
10107,10107,0.132574,0.313901,0.293454,-0.363448,0.267972,-0.862814,0.382732,0.204225,0.656341,-1.037664,H
10108,10108,0.04458,0.192965,0.329352,-0.187717,0.218966,2.590911,0.38919,-1.8489,-1.001795,1.892171,A
10109,10109,0.192526,0.265644,0.061261,-0.766909,0.249358,-1.129186,0.349209,-0.365143,-0.127952,-0.791773,F
10110,10110,0.159669,0.21881,0.285276,-0.737893,0.224349,-0.148099,0.390152,0.271815,0.220383,-0.089036,H
10112,10112,-0.028717,-0.518364,0.410165,0.968738,0.195719,0.89912,0.120843,-0.727716,-0.617135,1.405839,D
10113,10113,0.081656,-0.091388,0.669211,-0.559657,0.189575,1.067726,0.268302,-0.868954,-0.152437,0.804531,A
10114,10114,-0.141861,-0.597931,0.173334,0.736536,0.215139,0.095616,0.361751,0.445474,0.217471,0.251153,C
10115,10115,0.006443,-0.382884,0.270904,0.512225,0.25317,0.499649,0.367149,-0.14018,0.005465,0.628865,F
10116,10116,0.000572,-0.326561,0.333371,0.681994,0.273665,-0.035158,0.443319,0.400762,0.053564,-0.16739,G
10117,10117,0.367173,-0.540408,-0.005157,-0.390582,0.183523,-0.483551,0.539344,-0.028633,-0.14147,-0.230639,A
10118,10118,0.180976,-0.022703,0.303497,-0.15136,0.265567,-0.297243,0.166509,-0.999908,-0.482139,0.011214,F
10119,10119,0.190111,0.238876,0.019797,-0.630223,0.217205,0.146473,0.330718,-1.111028,-0.667383,0.0028,E
10120,10120,0.151711,0.179692,-0.07788,-0.070368,0.201624,0.926227,0.435069,0.111392,-0.402959,0.542608,A
10121,10121,0.019807,0.065317,0.287564,1.262651,0.230281,0.64035,-0.021168,0.935062,1.969493,0.324388,X
10123,10123,0.285717,-0.299514,0.275935,-1.076055,-0.524972,0.472227,0.150073,1.620306,0.547935,0.267524,A
10124,10124,0.078894,0.021117,0.040337,0.260026,0.216837,0.910978,0.578443,-0.384138,-0.130994,0.831088,A
10125,10125,-0.091501,0.270994,0.300288,-0.197123,0.270175,1.058482,0.431112,-1.018028,-0.581475,1.010905,A
10126,10126,0.231532,0.25954,0.136151,0.605127,0.253127,-0.154288,0.354181,0.499954,0.16526,-0.008715,F
10127,10127,0.050843,0.556353,0.274625,-0.001145,0.220812,-0.298292,0.167167,0.055674,0.203337,-0.497588,A
10128,10128,-0.24107,0.145433,-0.489619,-0.057909,0.251648,2.833869,0.363488,-1.323325,-1.382172,2.562723,E
10129,10129,-0.161239,-0.386553,0.123648,0.746643,0.260575,0.998666,0.250596,-0.711443,-0.7603,1.009679,H
10130,10130,-0.007498,-0.170642,0.314812,0.055113,0.220786,1.584486,0.250226,-1.131458,-0.689569,1.091803,D
10131,10131,0.462652,-0.35579,0.067895,-0.72634,0.913151,-0.883989,-1.44784,-0.358439,0.40368,0.022615,I
10132,10132,0.102856,-0.074736,0.195256,-0.406858,0.245031,-0.634335,0.461723,0.37999,-0.054212,-0.578266,F
10133,10133,-0.113017,-0.118547,-2.650909,-0.525467,0.123459,0.508601,0.303127,0.022546,0.343617,0.668014,D
10134,10134,0.106258,-0.415663,-3.113874,-1.206498,0.210839,-0.551511,0.499784,0.469331,0.374507,-0.2987,A
10135,10135,0.106316,-0.146585,0.321505,-0.650127,0.209762,-0.587732,0.132234,0.399339,0.16938,-0.968031,C
