LINK_COL,Company,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,LABEL
C10429,C10429,0.222463,0.165451,0.657344,9.950674,112.698358,,0.211763,10.22263,1.150354,0.923758,0.16009,1.714216,0.100674,0.192377,633.692898,2.856985,6.041431,0.203168,0.179678,81.717478,1.427804,,0.115661,0.304185,0.407386,0.004857,,5.37374,4.342076,-0.002216,0.064681,36.368338,4.774596,5.102645,0.056817,1.633711,,0.756396,0.095651,3.443461,0.015603,,132.515669,87.459337,0.094228,4.558329,106.128775,0.219002,0.107062,2.22469,0.178011,0.173073,1.364182,1.331373,9146.252648,0.087108,0.21303,0.856739,,4.034419,5.387937,53.48284,11.212618,6.061231,0
C15145,C15145,0.052372,0.496847,0.08639,1.770289,-14.988288,0.22471,0.122387,1.883488,1.034035,0.36386,0.027351,0.309769,0.090433,0.131316,2508.199383,0.430088,3.35995,0.084452,0.052619,40.089098,1.323789,0.080077,0.033225,0.048365,0.401626,0.384079,0.919716,0.240711,4.414391,0.186577,0.08135,99.518396,4.646047,0.11317,0.113327,1.335388,-0.570015,0.560047,0.029941,0.092262,0.356161,0.032202,81.441511,62.589496,1.056653,1.137334,40.732024,0.003715,-0.006295,1.038135,0.265976,0.227199,0.883657,1.365008,2314.243919,0.015848,0.048772,0.972267,0.228043,26.282662,7.164602,81.169412,7.140067,3.958801,0
C13998,C13998,-0.051605,0.653158,-0.01304,1.634267,-42.132396,,0.122859,-0.833753,0.869215,0.539179,0.090544,-0.202691,0.071449,-0.074922,3035.930562,0.206489,3.485561,0.079584,0.089691,49.367406,1.604774,,-0.060696,0.428344,0.321843,-0.074928,,,3.574725,0.301794,0.089315,125.936749,3.889387,1.444996,0.021131,1.082695,,0.103559,0.053323,0.268282,-6.623989,,125.75566,123.655922,-2.664332,0.648496,32.580541,0.023699,0.003627,1.270781,0.644794,0.613628,,,121.891664,0.090387,0.02029,1.042283,,-6.577387,5.581307,204.121129,2.886691,,0
C12736,C12736,0.114582,0.399072,0.294635,3.006887,95.462755,,0.136526,4.138488,1.429635,0.734806,0.158189,0.233037,0.079666,0.097635,1222.313486,0.177969,3.755233,0.106828,0.12297,23.441404,1.056525,,0.090044,,0.471306,0.099155,,1.040464,3.969242,0.231413,0.108449,41.725448,9.963137,3.360808,0.096099,1.040875,,0.834071,0.05562,0.597775,0.139657,,115.838989,70.058415,0.6567,2.043074,42.49774,0.07948,0.107611,2.514082,0.246346,0.257744,1.87846,2.247794,3934.204405,0.110817,0.169808,0.913954,,15.303541,4.811853,48.925984,9.177646,1.992133,0
C10550,C10550,-0.010868,0.801535,0.126344,0.833998,9.459638,,0.110093,1.427681,2.359688,0.232189,0.081092,-0.108413,0.039369,-0.007151,9248.911276,0.118977,1.948017,0.13313,0.024433,13.764668,0.973903,,-0.000948,,0.29056,0.224328,,1.568827,3.565878,0.282088,0.027423,132.813005,3.654543,2.659075,-0.052254,2.130018,,0.428532,-0.002145,0.094988,,,140.273188,96.096605,-4.356104,0.447018,12.460015,,,1.485915,0.765272,0.305569,0.459005,2.375625,879.098782,-0.007195,-0.25014,1.016098,,52.095125,6.092742,103.904782,2.350628,-10.682431,0
C15799,C15799,-0.112575,0.488912,-0.15192,2.538971,-1.154071,,0.158099,1.38167,5.479047,0.345762,0.495504,0.665653,0.055049,-0.137664,609.959583,1.094308,1.156657,0.05426,-0.002558,,,,0.031067,0.009392,0.578251,-0.185774,,14.995994,3.365131,0.214198,-0.016292,31.388216,7.87956,5.466214,0.086586,4.899079,,0.044426,-0.051304,0.042539,,,42.346156,47.10171,,0.658275,,,,0.589471,,0.172359,-8.771331,2.254616,1371.590716,0.015848,-0.565213,0.92179,,,10.620045,64.452548,15.318314,-43.842918,1
C12672,C12672,0.030505,0.149327,0.520666,5.528805,26.29977,,0.072751,6.855119,1.445179,0.870184,0.039514,2.034715,0.152084,0.109514,-462.18007,2.279714,4.033361,0.20893,0.007591,32.881366,1.234021,,0.048356,0.268604,0.603198,1.903779,,13.840892,3.677571,0.15361,0.019702,52.7333,11.451791,5.732017,0.248109,1.550089,,0.79734,0.128132,0.717501,0.082546,,160.755323,77.643069,0.340017,4.44936,56.503922,0.002229,0.105648,6.245626,0.156931,0.109632,7.532191,14.023823,3194.429023,0.063222,0.290107,0.840246,,12.977312,3.73776,39.939743,8.991628,4.544022,0
C12034,C12034,,0.744036,0.269666,2.751658,18.125201,,-0.14185,-0.080981,1.670951,0.284723,0.075369,0.467657,0.039962,-0.126203,3037.047593,0.195035,3.332221,-0.106704,0.110882,,,,,,0.171341,0.392452,,,2.721872,0.192945,0.076971,117.04108,6.235721,7.050882,0.100392,1.486548,,0.603306,0.079726,1.400899,-0.058439,,124.230311,78.593755,,0.321397,,-0.116077,-0.040861,1.58866,0.364592,0.246965,,,231.321583,-0.118342,,0.965618,,,6.087208,25.416515,2.378644,,0
C10405,C10405,-0.003219,0.507967,0.192387,1.790981,15.346301,0.216267,0.130591,1.429082,1.081823,0.581561,0.052218,0.100588,0.124611,0.063596,3829.840183,0.210761,1.992143,0.095328,0.052964,,0.902448,,-0.000441,0.367075,0.611209,0.403022,,1.807733,5.122182,0.279346,0.060692,149.374032,5.090249,0.513029,0.020525,2.347828,,0.600358,0.026024,0.382575,0.259551,,110.917518,72.062979,,1.248895,,0.006055,-0.008674,1.586971,0.442167,0.427938,3.17332,3.265992,18191.05086,0.069322,0.183766,0.979936,,,7.27493,92.194837,3.410432,20.949784,0
C10961,C10961,0.105131,0.156765,0.365017,5.738151,8.288676,,0.117006,2.11218,1.1785,0.753881,0.04383,1.473772,0.143941,0.121231,1298.850119,0.557436,3.308633,0.176462,0.030954,76.985688,1.008752,0.088313,0.063869,0.379252,0.736476,1.242832,-172.269135,2.579174,4.340021,-0.05274,0.123487,37.355714,8.133762,2.026343,0.139863,1.290995,,0.792885,0.130118,1.310101,0.027437,0.139785,171.623276,48.679252,0.358696,1.726104,123.534979,0.004924,0.072719,2.934535,0.176613,0.130857,2.225435,1.746501,12365.15795,0.035061,0.141247,0.940865,,3.504223,6.866624,50.579333,5.602561,6.016652,0
