Company,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,LABEL
10429,0.15644,0.269695,0.367787,3.684187,71.241726,,0.111351,0.714357,1.452825,0.61302,0.241441,1.859549,0.117641,0.144023,532.469618,2.066384,16.059552,0.189651,0.054349,114.107059,1.343131,,0.141985,0.390685,0.891122,1.04883,,2.289602,4.361,-0.031175,0.102532,37.092942,4.321685,4.900898,0.097745,1.174351,,0.9124,0.033978,1.407239,-0.391216,,113.638801,58.131331,0.486209,6.609686,135.293934,0.042693,0.129098,3.255516,0.154995,0.212307,3.29019,5.466453,7968.467563,0.183954,0.049374,0.880422,,5.115152,7.987148,43.553115,13.075558,0.171166,0
15145,0.080006,0.563013,0.22412,1.737237,30.734952,,0.069258,0.548568,1.094583,0.521569,0.117582,0.053776,0.130157,0.088835,3617.16614,0.558102,2.037168,0.084629,0.077624,53.428039,0.933615,0.12494,0.048595,0.050112,0.563701,0.44271,-0.231089,-0.047744,4.434342,0.245847,0.036792,80.200195,5.033595,0.540228,0.050543,1.823292,,0.707086,0.047318,0.117935,0.275405,0.049575,112.410875,71.52839,1.644858,1.01439,18.148396,0.089435,-0.002347,0.799094,0.41611,0.320375,0.311473,2.058472,7396.280951,0.022306,0.095729,0.938806,,19.494258,7.959138,54.456395,6.550879,4.780845,0
13998,-0.080264,0.77296,0.022538,1.531413,-83.722857,,0.031737,1.531293,1.662076,0.162565,-0.001854,-0.134741,-0.018325,0.019971,4896.071856,0.076136,2.556717,0.116362,-0.000688,28.546678,,,0.095565,0.027688,0.371499,0.157152,,,3.523855,0.587928,0.099045,169.653493,1.662918,3.211669,0.010021,1.181163,,0.661588,-0.088848,0.142425,,,175.257236,195.382772,-0.780436,1.584546,51.222763,,,0.617755,0.445014,0.656924,,,443.788598,-0.093514,-0.207611,1.018531,,196.12206,5.040555,180.331565,4.92422,,0
12736,0.158309,0.328866,0.296021,3.171766,73.924334,,0.095773,4.520646,1.465585,0.544165,0.162688,0.18669,0.059302,0.068632,2135.503051,1.172145,5.787251,0.160802,0.044404,,1.155887,,0.076393,,0.524921,1.051683,,0.410072,3.983268,0.309374,0.07456,88.404297,9.225221,2.015442,0.104377,1.255848,,0.747914,0.020825,0.145913,,,117.329658,99.518189,,1.290379,,,,2.041018,0.141612,0.256268,5.30812,1.978743,3489.079829,0.154555,0.031543,0.934612,,,3.825794,79.993136,7.195087,1.096749,0
10550,0.089109,0.623517,0.19095,1.732675,-38.970351,,-0.035526,0.540228,2.22796,0.467233,0.057353,0.174104,0.066407,0.110301,1454.12196,0.251109,1.786269,-0.036029,0.020274,,1.534478,,0.01978,,0.109007,0.300912,,,3.532878,0.461688,-0.011179,142.659258,4.428641,1.745674,0.157947,1.563776,,0.2623,0.005634,0.004648,,,93.13773,92.101883,,1.155216,,,,1.612506,0.52218,0.354933,,,265.785601,-0.022197,-0.063392,0.961126,,,3.68381,119.157269,2.610176,,0
15799,-0.030162,0.336545,0.163285,0.753483,-5.46917,,-0.148738,-0.02394,4.464424,0.44082,0.203865,0.164142,-0.01265,-0.096486,-2098.754169,1.00093,2.643117,-0.040608,-0.052107,,,,-0.010361,0.520512,-0.21138,0.402214,,,3.402923,0.055978,0.000912,66.60366,13.834715,9.77898,-0.134942,4.995067,,0.265925,-0.026383,0.297585,,,42.340126,33.368355,,0.311066,,,,1.221793,,0.107521,,,-278.623892,0.001662,3.527687,1.020805,,,10.649324,78.698103,8.360097,,1
12672,0.148805,0.181882,0.683081,7.939742,55.907746,,0.244449,5.108116,1.350766,0.730708,0.059797,2.348385,0.064009,0.026548,1788.661351,0.034271,3.680814,0.177203,0.095597,,1.070194,,0.098989,,0.829465,0.749586,,5.759738,3.707962,-0.001584,0.102702,42.932929,12.282524,9.383489,0.205123,1.796347,,0.734926,0.107282,1.741887,,,148.502712,95.474013,,3.639357,,,,6.273792,0.283191,0.071616,6.742291,14.829842,1912.147669,0.181724,0.207128,0.961788,,,4.407466,41.368377,11.534587,3.438344,0
12034,,0.644115,0.007493,3.443656,63.565939,,0.026181,4.560325,2.382308,0.372585,0.151667,-0.156448,0.114141,0.035193,-6315.075732,0.295807,6.509946,-0.097292,0.096583,,,,,,-0.117049,0.813145,,,2.636609,0.053039,0.049482,19.787892,9.071729,2.629969,-0.011415,2.62819,,0.505056,-0.053827,-0.318395,0.624969,,89.377394,91.927814,,0.972073,,-0.025604,0.050612,0.163921,0.703415,0.202655,,,273.166271,-0.041257,,0.991388,,,3.256836,35.461754,10.834264,,0
10405,0.043873,0.544664,0.266955,1.115052,6.858665,,0.022628,1.792091,1.084221,0.485145,0.058651,0.359139,0.073687,0.050772,256.010312,0.189126,3.120106,0.02744,-0.002495,,1.185598,,0.067268,-0.003586,0.612521,0.401365,,1.06459,5.127321,0.195161,0.104175,65.695561,4.542452,-0.023807,0.114662,1.613615,,0.368504,0.021595,0.249207,0.477545,,155.555673,94.356061,,1.458001,,0.047848,-0.010437,1.108525,0.579093,0.359566,2.856922,1.63804,12367.457786,0.095822,,0.904616,,,5.426596,138.506384,4.498323,3.523908,0
10961,0.071655,0.190779,0.395452,4.222868,28.219788,,0.130047,5.392536,1.157555,0.585276,0.071929,1.587383,0.187802,0.022644,140.060974,1.550018,8.160816,0.15762,0.12804,117.314255,1.161017,0.076797,0.029429,0.284877,0.758812,1.20716,-124.630657,-0.135955,4.348296,-0.023524,0.048064,54.618112,9.746407,4.016285,0.17841,1.576191,,0.765063,0.036329,0.015012,0.017944,0.05857,113.684295,66.969993,0.266729,2.471971,115.822401,0.03782,0.061744,5.314891,0.263813,0.100239,3.647514,4.057756,8297.863529,0.121558,0.048821,0.858151,,3.372939,4.945396,35.018733,4.660655,6.986198,0
