,Company,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,LABEL
10429,10429,0.187593,0.302719,0.271243,2.390983,-536.737001,,0.094196,2.087994,1.123917,0.607852,0.051204,0.660867,0.124706,0.205108,1709.905638,0.922345,10.702602,0.150063,0.01031,132.279271,1.305347,,0.014081,,0.716326,0.724069,,0.519385,4.454456,0.280271,0.108339,103.923328,3.113941,3.159822,0.260448,1.619056,,0.730679,0.180418,1.810627,0.727364,,94.740273,46.765932,7.207793,0.23874,77.552027,0.17151,-0.024236,2.798242,0.095184,0.210919,1.42066,3.260539,14555.256748,0.16843,0.314245,0.885928,,121.852233,7.333706,29.1045,12.437069,7.444988,0
15145,15145,-0.022486,0.626859,0.078464,1.850809,-23.615935,,0.118461,1.945993,1.063769,0.317466,0.04946,0.336441,0.07403,-0.009354,-829.212403,0.020373,1.623206,0.019446,0.075531,62.568567,0.984427,,0.04207,,0.527085,0.323023,,0.510747,4.446994,0.111869,-0.010249,145.222428,6.940402,0.69588,0.096054,2.192285,,0.466408,0.074759,0.205359,-0.742263,,84.115006,85.841845,0.751437,1.476883,74.453133,0.0159,0.058491,1.56529,0.485586,0.147769,1.379822,2.28529,3723.812003,0.087536,0.121445,,,1.213674,8.08133,115.976171,2.8305,8.629518,0
13998,13998,-0.002127,0.811034,0.074051,2.507997,-65.035012,,-0.093324,1.223224,2.106705,0.447551,-0.017137,-0.412113,0.02869,0.17093,7521.643547,0.212755,3.726903,0.018405,0.051962,,,,0.056934,,0.015498,0.217999,,,3.42701,0.598782,0.006893,83.757846,6.337335,3.60392,,1.465746,,0.502894,,0.044767,,,96.358304,81.819775,,3.013319,,,,2.049656,0.31803,0.520931,,,1366.006535,0.027805,0.548094,0.930331,,,4.513476,195.828181,3.490547,,0
12736,12736,,0.314111,0.155467,2.603336,13.429415,,0.069399,3.146766,1.464499,0.523772,0.179614,0.396213,0.084116,0.142776,2464.499342,0.104848,3.306724,0.134772,0.041058,,,,,,0.609357,1.025341,,3.013707,3.991382,0.04287,0.00884,81.301674,9.953227,3.789488,0.045182,1.794484,,0.525266,0.002477,0.803015,,,163.579342,97.656563,,3.010389,,,,2.713358,0.312959,0.209331,0.833612,1.290589,1814.703365,0.113495,,0.999367,,,4.51849,45.339589,2.886611,-1.160764,0
10550,10550,0.147678,0.404427,0.212627,1.880622,-59.509108,,0.075477,1.549503,2.505092,0.500764,0.192388,0.267484,-0.014638,0.001946,-2544.439144,0.27746,3.813005,0.132299,-0.038685,,,,-0.036255,,0.047088,0.529663,,,3.609557,0.127513,0.059971,68.44429,2.791738,1.318377,,2.242312,,0.353839,,0.832017,,,,,,1.383539,,,,2.143126,0.618925,0.395212,,,1301.911188,0.113266,-0.202402,1.043579,,,,84.683904,6.903229,,0
15799,15799,,0.803661,-0.172865,0.259522,1522.81355,,-0.139222,-0.341101,3.85724,0.039266,0.112231,0.260897,-0.060834,-0.24107,-3625.916596,2.780333,1.635074,-0.228646,-0.008856,,,,,,0.239552,2.757781,,,3.410116,0.361222,0.000209,,,,,5.243714,,0.547365,,-0.072482,,,40.094986,29.010186,,1.708649,,,,1.346119,,,,,245.300066,,,0.847937,,,14.299641,19.64096,6.120288,,1
12672,12672,0.192822,0.468853,0.421633,3.866234,94.365212,,0.135637,0.34291,1.483617,0.664372,0.135769,1.459158,0.099575,-0.01126,2994.58188,-0.088862,3.449434,0.15854,0.039799,,,,0.033268,,,0.563842,,,3.700652,0.341781,0.089269,108.390525,11.377579,2.516585,-0.018224,1.699178,,0.57475,0.037791,2.431572,,,124.932737,49.446432,,3.923832,,,,1.986136,0.270559,0.238121,,,883.670373,0.052007,0.137016,0.948531,,,6.931031,60.827155,9.648073,,0
12034,12034,,0.511722,-0.0616,4.28326,-105.454214,,0.028572,4.47366,2.734145,0.516919,-0.160731,0.816374,0.063645,0.165322,-14256.647571,0.070487,1.758264,0.078613,0.027812,,,,,,0.54668,1.467888,,,2.618854,0.550393,-0.116435,,,,,1.64878,,0.697134,,2.611473,,,146.048166,50.664689,,2.770648,,,,-0.197326,0.726295,,,,108.863369,,,0.995482,,,6.619154,156.757123,9.796195,,0
10405,10405,,0.51196,0.168731,2.425491,26.092153,,0.08535,0.181359,1.218642,0.470003,0.068607,0.176422,0.123711,0.11721,1004.798118,0.739235,2.786234,0.010705,0.13061,,1.877,,,,0.340103,,,-0.045767,5.102149,0.196463,0.071372,132.954716,6.390674,1.509924,0.161935,1.803267,,0.754348,0.066984,-0.120551,-0.680395,,151.570215,50.846013,,1.701307,,,,0.908424,0.473902,0.417452,1.359505,0.890595,12457.720275,0.09385,,0.879166,,,5.833253,114.167086,6.344728,-0.888833,0
10961,10961,0.031477,0.241957,0.370455,6.383885,110.25512,,0.077804,6.071908,1.354027,0.52641,0.027748,0.586187,0.136983,0.014306,1866.297735,1.367608,7.431454,0.021753,0.015168,,1.216269,,0.032794,,0.662746,1.463371,,-0.28034,4.402505,-0.127491,0.055158,32.031222,12.181987,2.50996,0.149922,1.365426,,0.60375,0.154848,-0.29923,-2.407407,,119.191129,32.027673,,2.296557,,0.118294,-0.029144,5.336176,0.2995,0.118745,5.316635,5.872107,5941.804679,0.160405,0.124504,0.870086,,,9.246564,47.134689,5.18723,12.416485,0
10801,10801,,0.253915,0.280909,1.901761,39.289659,,0.049116,-0.286491,1.023955,0.466208,-0.027824,0.218102,0.117641,0.083781,-2099.204588,0.649492,5.600511,-0.022869,-0.010519,,,,,,0.634269,0.230944,,3.363728,4.131838,0.773684,0.066788,69.074148,9.30536,0.906584,0.02323,0.740859,,0.762194,0.086668,1.161254,,,148.084421,45.617591,,1.368606,,,,1.266217,0.322745,0.369027,3.585501,5.776915,4487.486639,0.081385,,1.030931,,,7.989302,102.582582,2.373429,-7.279728,0
14072,14072,0.080024,0.347927,0.157245,2.986599,71.245239,,0.022588,3.837419,1.121103,0.575391,0.039914,0.339487,0.146489,-0.001189,3321.264851,0.370906,1.363281,0.099758,0.057035,,1.206662,,0.001926,0.230601,0.327274,0.33244,,5.05446,4.56294,0.18047,0.099808,111.970334,8.08338,1.189376,,2.17813,,0.753846,,0.658532,-2.001292,,88.072164,68.772751,,0.826291,,0.100076,0.059516,0.435243,0.223759,0.360369,4.160303,0.631118,6191.470255,0.075722,,0.881417,,,6.509981,79.124048,7.843018,-7.547475,0
11753,11753,,0.442751,0.076989,1.281944,7.644463,,0.089395,2.62446,1.048876,0.625439,0.111659,0.525625,0.087691,0.099594,-5206.480232,0.241126,3.356115,0.060007,0.013819,,1.300071,,,,0.272994,0.40187,,-0.503219,4.830352,0.363767,0.011286,127.805627,3.345991,-0.35095,,0.978268,,0.722034,,0.339103,,,91.516617,63.032234,,0.309598,,,,2.145039,0.434477,0.163945,1.381544,2.178959,-2428.920948,0.071116,,,,,10.639577,50.69167,6.308776,16.180583,0
