Company,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,LABEL
0,0.003331,0.71095,0.008566,1.0158,-50.63,-0.019608,0.003406,0.40558,0.98963,0.28806,0.002881,0.006477,0.022547,0.00349,9657.9,0.038473,1.4056,0.003468,0.001231,52.733,1.0154,0.058142,0.001147,0.019857,0.30079,0.036962,0.19219,0.036464,5.6605,0.48658,0.00135,100.47,3.6329,0.082922,0.058978,1.3199,0.37463,0.66118,0.045476,0.21302,0.23932,0.04254,111.05,60.155,0.007645,0.57666,55.696,0.041348,0.028186,0.63703,0.25063,0.27537,0.51398,0.99778,6323.6,0.04855,0.01383,0.95104,1.0329,6.9204,6.0577,95.724,3.8293,2.248,0
1,0.0141,0.009606,0.33012,5.7502,117.75,,0.017437,138.16,1.1096,0.99377,0.017437,2.5259,0.21819,0.017452,79.176,4.61,111.56,0.017406,0.17087,121.77,0.95296,0.017008,0,0.18453,0.96248,4.61,1261.9,0.50554,3.5419,-0.10691,0.17399,25.414,14.362,13.7,0.075546,0.55124,,0.9894,0.14905,2.9443,0.007305,0.14988,163.64,50.285,0.066925,3.7707,137.97,0.011458,0.021797,5.8393,0.008963,0.069178,1.5055,1.5138,982.17,0.15155,0.015134,0.78886,,3.0221,7.263,21.578,16.84,1.0046,0
2,0,0.50814,0.077071,1.2566,-77.927,0.1452,0.002184,0.95072,0.68575,0.48621,0.018914,0.005352,0.009724,0.002269,37801,0.009656,1.9519,0.002237,0.002484,104.83,0.7665,0.008752,0,0.16108,0.51182,0.004133,0.059686,0.12221,4.743,0.57857,0.005711,281.21,1.3125,1.1807,0.00851,0.68536,3.2905,0.58009,0.012594,0.04026,0.64671,0.007112,165.04,58.47,0,0.74958,108.64,-0.020297,-0.035757,0.93132,0.39029,0.76947,0.94322,1.1282,3649,0.021779,0,0.93574,0.16808,3.4885,6.2427,285.16,1.2747,1.1359,0
3,0.1365,0.088531,0.7983,10.785,138.26,-0.060681,0.13672,10.248,1.4314,0.88653,0.17741,6.9669,0.13406,0.13667,78.427,4.654,11.295,0.13667,0.12907,11.483,0.75066,0.16078,0.10535,0.2797,0.6934,4.0228,0,5.8477,3.6265,-0.25478,0.17237,25.643,14.234,14.45,0.16334,1.6431,,0.88583,0.10827,7.7283,0.00914,0.10821,59.034,49.047,3.0667,9.0795,12.185,0.14503,0.097218,10.356,0.072797,0.07072,6.6528,6.7558,3711.5,0.12413,0.14721,0.88353,,31.943,7.4546,23.623,15.493,9.4165,0
4,-0.10203,0.18414,0.26574,24.226,245.69,,-0.12504,4.4209,0.20018,0.81586,-0.054112,-1.8558,-0.26812,-0.12283,-287.47,-1.2088,5.4291,-0.12353,-0.30825,,0.49524,-0.11585,-0.319,-0.11649,-0.26836,-1.3297,,0.42528,2.2677,-0.34295,-0.30825,21.344,17.827,16.879,-0.032729,0.23198,,0.81488,-0.48427,7.4522,-0.025807,-0.40683,60.087,59.972,,16.662,,-0.11358,-0.75356,6.99,0.13551,0.055446,1.3467,1.3702,73.86,-0.51803,-0.086549,1.3247,,,6.0874,39.045,9.3328,0.2762,0
5,,0.50112,0.24305,1.6223,0,0.42531,0.060885,0.97466,1.0302,0.49021,0.061099,0.1175,0.07597,0.060885,1846.2,0.19771,1.9999,0.060969,0.048158,76.029,1.208,0.053684,,0.41355,0.49814,0.16279,0.5099,0.71799,4.2212,0.24251,0.05912,84.733,4.3138,0.1118,0.05387,1.7539,1.9882,0.59623,0.030817,0.25232,0.14535,0.034589,108.24,31.637,,1.0179,78.623,0.044564,0.028303,1.2196,0.3935,0.23181,1.2681,1.6072,4345,0.030842,,0.96921,0.31033,4.8069,11.519,83.027,4.3937,4.3876,0
6,-0.020378,0.97021,0.30287,1.6085,-23.237,-0.01084,-0.023916,0.012002,6.9623,0.010249,0.027655,-0.044221,0.003233,-0.024062,23229,0.015722,1.0329,-0.024062,-0.006284,9.9398,0.68592,0.027061,-0.00599,0.083297,0.019061,0.012793,-0.062521,2.3387,3.0845,0.1579,-0.003262,88.451,4.1288,4.085,0.12925,6.8138,25.975,0.14704,0.013331,1.0408,0.60005,0.010806,27.066,18.365,-0.27981,1.4321,10.429,0.011821,0.001632,0.98578,0.72319,0.24223,0.58061,3.083,426.86,0.013194,-1.0274,1.0062,2.9522,36.721,19.845,86.518,4.2179,57.705,1
7,-0.55123,0.96702,-0.56828,0.36061,-60.979,-0.21495,-0.70089,-0.027778,1.6615,-0.028427,-0.67808,-0.55802,-0.4697,-0.64241,-587.55,-0.60591,1.0341,-0.66596,-0.45473,3.2965,0.98553,-0.68111,-0.49275,-0.35313,-0.11801,-0.57112,-4.5036,-0.9794,3.0663,3.4861,-0.46114,153.8,2.3749,1.0995,-0.83756,1.1824,20.299,0.038805,-0.44097,0.16223,-0.049528,-0.41662,9.3174,6.4632,-15.857,0.19718,3.098,-0.68527,-0.39477,0.30669,0.99973,0.42122,-0.039638,0.059715,-708.42,-0.36708,4.6737,1.4406,0.17809,109.58,56.179,176.73,2.0609,1.1476,0
8,-0.48653,0.9755,-0.13199,0.75674,-39.972,-0.54598,-0.4691,0.022514,0.97408,0.022018,-0.45622,-0.75075,-0.22253,-0.45622,-955.01,-0.3746,1.025,-0.45622,-0.22216,13.604,0.26815,-0.42702,-0.21926,-0.52597,-0.34552,-0.3746,-1.0447,-0.14922,4.3389,1.9577,-0.20168,1157.2,0.2383,-0.40585,-0.42447,0.25532,,-0.003169,-0.16382,0.45716,-0.08688,-0.1781,259.07,238.85,-5.6088,0.34783,13.681,-0.80021,-0.24591,0.75223,0.79306,4.1963,1.3266,0.64999,-2159,-0.18543,-19.441,1.2051,,26.857,1.5405,635.37,0.60891,0.62878,0
9,0.39182,0.25747,0.59217,4.9178,38.763,,0.45126,2.8831,1.8545,0.74402,0.45943,2.7085,0.27304,0.44958,219.83,1.8135,3.8831,0.45466,0.24744,76.93,1.4629,,0.25254,0.61304,0.60824,1.3576,,2.2924,3.768,0.087178,0.47647,95.409,5.4364,4.9276,0.003986,1.8593,,0.74391,0.002235,0.2617,84.484,,202.79,118.17,1.8311,1.8037,146.87,-0.23169,-0.14759,3.1517,0.11813,0.18667,3.3376,3.3249,3587.8,0.50196,0.52506,0.49354,,4.7528,3.0888,37.289,9.797,7.3084,0
