Company,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,LABEL
1,0.14157,0.23695,0.75102,3.003,87.626,0.35917,0.26125,2.8818,1.1989,0.48991,0.25726,1.2568,0.13652,0.26845,163.53,0.30331,4.0561,0.26846,0.14837,74.876,1.0411,0.25625,0.15561,0.59073,0.74623,0.81158,1.8498,4.7509,4.2837,0.040705,0.24216,57.758,6.0229,0.73003,0.2752,1.1591,4.7705,0.71821,0.13015,0.79942,0.015866,0.13288,101.54,26.573,0.65417,0.4374,190.76,0.21493,0.19528,3.3234,0.27513,0.15202,4.1471,3.6787,10372,0.16204,0.20154,0.85133,0.069741,5.0702,16.908,48.533,7.578,7.7311,0
2,0.008514,0.8216,0.16084,1.2086,-31.764,0.006044,0.002135,0.12167,0.97555,0.1549,0.030479,0.015093,0.015467,0.002634,16000,0.007061,1.2119,0.002634,0.004507,42.493,1.4112,0.006204,0.000784,0.00406,0.079235,0.026438,0.06216,0.9003,5.3672,0.30346,0.00579,111.41,2.7855,0.095738,0.029857,0.62401,1.9423,0.6542,0.001795,0.071511,0.4598,0.008944,154.88,108.91,0.092039,0.92989,44.964,-0.027586,-0.041226,0.76665,0.03167,0.38694,0.86731,1.071,26279,-0.017169,0.012414,0.90036,1.85339,7.646,3.2537,110.21,3.6822,0.1999,0
3,-0.27208,0.55568,0.11457,1.2996,-310.15,,-0.28793,0.78468,0.31119,0.41805,-0.30933,-1.2008,-0.31471,-0.27791,-704.41,-0.56363,1.6172,-0.20791,-0.3389,26.81,1.6562,-0.23425,-0.22898,-0.035471,0.41624,-0.15767,-174.73,0.24287,4.8555,0.3864,-0.34334,104.39,1.0517,1.9433,-0.28076,0.727,,0.33828,-0.33551,0.59414,-0.083935,-0.10943,103.88,102.42,-1.6355,1.0799,31.769,-0.20654,-0.2087,1.013,0.4543,0.57122,0.55533,1.2607,8917.1,-0.27128,-0.62735,1.2054,,22.891,3.8393,255.59,1.3441,0.69836,0
4,0.00772,0.58527,0.11081,1.6399,3.74231,0.12321,0.003842,0.70289,1.2663,0.42672,0.023454,0.018375,0.015203,0.005672,1168.1,0.2892,1.8391,0.003672,0.003421,19.433,1.1762,0.033256,,0.16301,0.18485,0.11407,0.93934,0.32517,4.9011,0.16791,0.004294,61.306,5.9076,0.046711,0.022717,1.3542,1.0626,0.67958,0.001785,0.8835,0.22743,0.014537,62.886,36.675,0.21193,1.0402,19.25,-0.016138,-0.002448,1.1088,0.39182,0.1863,1.17661,1.432,39918,0.024021,0.006674,0.97186,0.43335,37.852,2.3067,61.19,5.9558,3.6235,0
5,0.024034,0.19771,0.68484,5.0751,43.75,0.079558,0.029035,4.8569,1.0224,0.89972,0.022918,0.12193,0.038178,0.022135,669.85,1.3008,16.7126,0.022125,0.027979,30.414,1.0496,0.020794,0.024094,0.012302,0.81499,1.3615,0.21161,2.9175,4.4758,-0.037561,0.020489,35.657,13.356,0.68377,0.040172,1.0888,346.97,0.80785,0.012539,1.9279,0.022159,0.014793,91.47,59.683,0.042054,4.1207,32.544,-0.0192,-0.000984,5.1942,0.16638,0.084466,2.3788,2.2553,4229.1,0.011221,0.02808,0.98048,6.00E-06,10.353,6.0128,23.238,19.986,5.3177,0
6,0.02532,0.16363,0.39928,5.0523,11.925,0.018023,0.020438,4.0044,0.63774,0.78058,0.020286,0.37088,0.021426,0.020204,2206.4,0.12258,3.3357,0.028707,0.015763,103.64,1.4061,0.009354,0.01691,0.14113,0.13779,0.15045,0.090316,0.39916,4.3109,0.4309,0.013214,109.38,2.8793,0.060021,0.005335,0.68725,,0.70994,0.001032,0.94798,0.19696,0.010659,188.37,183.42,0.15885,1.9465,3.278,0.010541,0.008187,2.8132,0.1581,0.31023,1.6107,1.5026,31235,-0.01916,0.022611,1.0118,,3.1311,2.198,125.17,2.0975,2.9563,0
7,0.26268,0.67149,0.19251,1.5862,-31.375,0.10406,0.26089,0.84732,2.4944,0.99966,0.22589,0.91438,0.15069,0.26753,73.49,0.68432,1.9041,0.26753,0.073959,25.282,1.9692,0.29679,0.073093,1.3087,0.37064,0.97392,73.962,1.7167,3.2925,0.011148,0.088949,57.86,7.599,7.8591,0.57479,5.9482,,0.55762,0.090812,0.42624,0.016431,0.090537,58.212,12.931,0.72681,0.3413,26.406,0.21231,0.047137,1.3707,0.54619,0.13303,2.4939,2.2188,985.63,0.095835,0.37019,0.91628,,14.462,81.1336,46.114,7.7742,20.029,0
8,0.067668,0.44369,0.2973,1.5752,69.031,0.24965,0.071164,1.2784,1.0634,0.59392,0.085679,0.32693,0.092312,0.071872,701.1,0.40924,2.1624,0.071872,0.073639,29.24,0.75449,0.068519,,0.10209,0.54336,0.51974,0.59344,0.45252,5.3785,0.16681,0.037529,99.966,4.7773,0.20952,0.063247,2.1036,57.998,0.52267,0.060792,0.14934,0.074791,0.048423,87.224,35.622,0.70566,1.222,22.722,0.036079,0.014416,1.4447,0.42735,0.26817,0.5272,0.40114,54437,0.065706,0.014517,0.95655,0.015591,13.928,12.974,97.383,3.928,3.1829,0
9,0.001374,0.69692,0.25128,1.4555,10.1,,0.001932,0.44602,1.4763,0.37985,0.009221,0.017673,0.017075,0.000949,7672.4,0.074497,1.5274,0.006942,0.007631,76.238,1.4691,0.023782,0.001464,0.14104,0.33128,0.04202,1.8251,0.42381,3.104,0.31063,0.023613,101.31,3.4254,2.3913,-0.039007,1.521,15.411,0.3551,-0.004056,0.013416,0.3215,0.014404,166.68,68.571,0.035444,0.78958,68.712,-0.006739,-0.00774,1.2044,0.55498,0.2856,1.1504,1.2415,538.95,-0.002448,0.01271,0.00991,0.024924,5.1676,6.3158,195.59,3.0218,5.518,0
10,0.15902,0.63906,-0.36717,0.36479,-82.978,,0.19576,0.48247,1.0744,0.25776,0.13792,0.46366,0.15801,0.17537,1778.8,0.19084,1.5939,0.17577,0.062153,58.158,0.93409,0.16565,0.034508,0.2752,0.26343,0.18551,0.74265,-0.10208,4.1747,0.66634,0.052179,92.596,4.1516,0.37608,0.13855,1.2691,0.017,0.55837,0.085851,0.026542,0.11249,0.083571,84.738,50.638,0.38975,0.33215,66.321,0.12146,0.036462,0.2702,0.42559,0.24706,0.57083,0.62732,-5915,0.057299,0.27562,0.94816,0.14528,6.7932,8.7676,92.983,3.8863,1.3239,0
